CaseStudy;A;B;HV;IGD;EP;GD;GS;ED;PFS;C
RA;CELLDE;MOCELL;B;B;B;A;A;A;A;ND
RA;CELLDE;NSGAII;B;B;B;B;ND;A;B;ND
RA;CELLDE;PAES;B;B;B;B;A;A;B;ND
RA;CELLDE;SMPSO;B;B;B;A;A;B;A;ND
RA;CELLDE;SPEA2;B;B;B;B;A;A;B;ND
RA;MOCELL;NSGAII;B;B;B;B;B;B;B;B
RA;MOCELL;PAES;A;A;A;B;B;B;B;ND
RA;MOCELL;SMPSO;A;A;A;B;B;B;B;ND
RA;MOCELL;SPEA2;B;B;B;B;B;B;B;ND
RA;NSGAII;PAES;A;A;A;A;A;A;ND;ND
RA;NSGAII;SMPSO;A;A;A;A;A;B;A;A
RA;NSGAII;SPEA2;A;A;A;A;A;A;A;A
RA;PAES;SMPSO;A;A;A;A;ND;B;A;ND
RA;PAES;SPEA2;B;B;B;B;ND;B;A;ND
RA;SMPSO;SPEA2;B;B;B;B;ND;A;B;ND
TS;CELLDE;MOCELL;B;B;A;B;A;B;ND;ND
TS;CELLDE;NSGAII;B;B;B;B;A;B;B;B
TS;CELLDE;PAES;A;A;A;A;A;A;ND;ND
TS;CELLDE;SMPSO;B;B;B;B;A;B;A;ND
TS;CELLDE;SPEA2;B;B;B;B;B;B;B;B
TS;MOCELL;NSGAII;B;B;B;B;B;B;ND;ND
TS;MOCELL;PAES;A;A;A;A;A;A;ND;ND
TS;MOCELL;SMPSO;ND;A;B;A;B;A;A;ND
TS;MOCELL;SPEA2;ND;B;B;B;B;B;ND;ND
TS;NSGAII;PAES;A;A;A;A;A;A;A;A
TS;NSGAII;SMPSO;A;A;A;A;B;A;A;ND
TS;NSGAII;SPEA2;A;B;A;B;B;B;ND;ND
TS;PAES;SMPSO;B;B;B;B;B;B;A;ND
TS;PAES;SPEA2;B;B;B;B;B;B;B;B
TS;SMPSO;SPEA2;B;B;A;B;B;B;B;ND
TRA;CELLDE;MOCELL;A;A;A;A;A;A;A;A
TRA;CELLDE;NSGAII;A;A;A;A;A;A;ND;A
TRA;CELLDE;PAES;A;A;A;A;A;A;A;A
TRA;CELLDE;SMPSO;B;B;B;A;A;A;ND;B
TRA;CELLDE;SPEA2;A;A;A;A;A;A;ND;B
TRA;MOCELL;NSGAII;B;B;B;B;A;B;B;ND
TRA;MOCELL;PAES;ND;B;ND;A;B;B;A;A
TRA;MOCELL;SMPSO;B;B;B;B;B;B;B;B
TRA;MOCELL;SPEA2;B;B;B;A;B;B;B;B
TRA;NSGAII;PAES;A;ND;A;A;B;ND;A;A
TRA;NSGAII;SMPSO;B;B;B;B;B;B;ND;B
TRA;NSGAII;SPEA2;B;B;B;A;B;B;ND;B
TRA;PAES;SMPSO;B;B;B;B;B;B;B;B
TRA;PAES;SPEA2;B;B;B;A;B;B;B;B
TRA;SMPSO;SPEA2;A;A;A;A;A;A;ND;A
RP;CELLDE;MOCELL;A;A;A;A;A;A;A;A
RP;CELLDE;NSGAII;A;B;A;B;ND;B;B;ND
RP;CELLDE;PAES;A;A;A;A;A;A;B;A
RP;CELLDE;SMPSO;A;A;A;A;B;A;A;ND
RP;CELLDE;SPEA2;A;A;A;A;A;A;B;A
RP;MOCELL;NSGAII;B;B;B;B;B;B;B;B
RP;MOCELL;PAES;ND;ND;ND;B;ND;ND;B;ND
RP;MOCELL;SMPSO;B;B;B;B;B;B;B;B
RP;MOCELL;SPEA2;B;B;B;B;B;B;B;ND
RP;NSGAII;PAES;A;A;A;A;A;A;ND;A
RP;NSGAII;SMPSO;A;A;B;A;B;A;A;ND
RP;NSGAII;SPEA2;A;A;A;A;A;A;ND;A
RP;PAES;SMPSO;B;B;B;B;B;B;A;B
RP;PAES;SPEA2;B;B;B;B;B;B;ND;ND
RP;SMPSO;SPEA2;A;A;A;B;A;A;B;A
TM;CELLDE;MOCELL;B;B;B;B;A;B;B;ND
TM;CELLDE;NSGAII;B;B;B;B;A;B;B;B
TM;CELLDE;PAES;A;A;A;A;A;A;B;ND
TM;CELLDE;SMPSO;B;B;B;B;A;B;ND;ND
TM;CELLDE;SPEA2;B;B;B;B;A;B;B;B
TM;MOCELL;NSGAII;B;B;B;B;B;B;B;B
TM;MOCELL;PAES;A;A;A;A;A;A;ND;ND
TM;MOCELL;SMPSO;ND;ND;ND;A;B;B;A;ND
TM;MOCELL;SPEA2;B;B;B;B;B;B;B;B
TM;NSGAII;PAES;A;A;A;A;A;A;A;A
TM;NSGAII;SMPSO;A;A;A;A;B;A;A;ND
TM;NSGAII;SPEA2;ND;B;ND;B;B;B;ND;B
TM;PAES;SMPSO;B;B;B;B;B;B;A;ND
TM;PAES;SPEA2;B;B;B;B;B;B;B;B
TM;SMPSO;SPEA2;B;B;B;B;A;B;B;B
TP1;CELLDE;MOCELL;B;B;A;B;B;B;B;B
TP1;CELLDE;NSGAII;B;B;B;B;B;B;B;B
TP1;CELLDE;PAES;A;B;A;B;A;B;B;B
TP1;CELLDE;SMPSO;B;B;B;B;B;B;B;ND
TP1;CELLDE;SPEA2;B;B;B;B;B;B;B;B
TP1;MOCELL;NSGAII;B;B;B;A;B;ND;ND;A
TP1;MOCELL;PAES;A;A;A;A;A;A;A;A
TP1;MOCELL;SMPSO;B;B;B;A;B;A;ND;A
TP1;MOCELL;SPEA2;B;B;B;ND;B;ND;ND;ND
TP1;NSGAII;PAES;A;A;A;A;A;A;A;ND
TP1;NSGAII;SMPSO;B;A;B;A;B;A;ND;A
TP1;NSGAII;SPEA2;A;A;A;B;B;ND;ND;ND
TP1;PAES;SMPSO;B;B;B;A;B;A;B;A
TP1;PAES;SPEA2;B;B;B;B;B;B;B;ND
TP1;SMPSO;SPEA2;A;ND;A;B;A;B;ND;B
TP2;CELLDE;MOCELL;B;B;B;B;A;B;A;ND
TP2;CELLDE;NSGAII;B;B;B;B;B;B;B;ND
TP2;CELLDE;PAES;B;B;B;B;A;B;A;ND
TP2;CELLDE;SMPSO;B;B;B;B;B;B;B;ND
TP2;CELLDE;SPEA2;B;B;B;B;ND;B;B;B
TP2;MOCELL;NSGAII;B;B;B;B;B;B;B;ND
TP2;MOCELL;PAES;ND;B;A;B;A;B;B;ND
TP2;MOCELL;SMPSO;B;A;ND;A;B;A;B;ND
TP2;MOCELL;SPEA2;B;B;B;B;B;B;B;B
TP2;NSGAII;PAES;A;A;A;A;A;ND;A;ND
TP2;NSGAII;SMPSO;A;A;A;A;B;A;B;ND
TP2;NSGAII;SPEA2;ND;B;ND;B;A;B;A;ND
TP2;PAES;SMPSO;B;A;B;A;B;A;B;ND
TP2;PAES;SPEA2;B;B;B;B;B;B;B;ND
TP2;SMPSO;SPEA2;B;B;B;B;A;B;A;B
TP3;CELLDE;MOCELL;A;B;A;B;A;B;B;B
TP3;CELLDE;NSGAII;B;B;B;B;B;B;B;B
TP3;CELLDE;PAES;A;B;A;B;A;B;B;B
TP3;CELLDE;SMPSO;B;B;B;B;B;B;B;B
TP3;CELLDE;SPEA2;B;B;B;B;B;B;B;B
TP3;MOCELL;NSGAII;B;B;B;A;B;A;B;ND
TP3;MOCELL;PAES;A;A;A;A;A;A;A;ND
TP3;MOCELL;SMPSO;B;B;B;A;B;A;B;A
TP3;MOCELL;SPEA2;B;B;B;A;B;A;B;A
TP3;NSGAII;PAES;A;A;A;ND;A;B;A;ND
TP3;NSGAII;SMPSO;B;A;B;A;B;A;ND;ND
TP3;NSGAII;SPEA2;A;A;A;B;A;ND;ND;ND
TP3;PAES;SMPSO;B;B;B;A;B;A;B;ND
TP3;PAES;SPEA2;B;B;B;B;B;A;B;ND
TP3;SMPSO;SPEA2;A;ND;A;B;A;B;ND;ND
TP4;CELLDE;MOCELL;A;A;A;A;A;A;A;A
TP4;CELLDE;NSGAII;A;A;A;B;A;A;A;A
TP4;CELLDE;PAES;A;A;A;A;A;A;A;A
TP4;CELLDE;SMPSO;A;A;A;A;A;A;B;A
TP4;CELLDE;SPEA2;A;A;A;B;A;ND;A;A
TP4;MOCELL;NSGAII;B;B;B;B;B;B;B;ND
TP4;MOCELL;PAES;A;A;A;A;A;A;B;ND
TP4;MOCELL;SMPSO;B;B;B;B;B;B;B;ND
TP4;MOCELL;SPEA2;B;B;B;B;B;B;B;ND
TP4;NSGAII;PAES;A;A;A;A;A;A;A;ND
TP4;NSGAII;SMPSO;A;A;A;A;B;A;B;ND
TP4;NSGAII;SPEA2;B;B;B;ND;A;B;A;ND
TP4;PAES;SMPSO;B;B;B;B;B;B;B;ND
TP4;PAES;SPEA2;B;B;B;B;B;B;B;ND
TP4;SMPSO;SPEA2;ND;B;B;B;A;B;A;ND
RM;MOCELL;NSGAII;A;A;A;B;A;ND;ND;ND
RM;MOCELL;PAES;A;A;A;A;A;ND;A;A
RM;MOCELL;SMPSO;A;A;A;A;A;A;A;A
RM;MOCELL;SPEA2;B;B;B;B;B;ND;ND;B
RM;NSGAII;PAES;A;A;A;A;A;ND;A;A
RM;NSGAII;SMPSO;A;A;A;A;A;A;A;A
RM;NSGAII;SPEA2;B;B;B;B;B;ND;ND;B
RM;PAES;SMPSO;A;A;B;A;B;A;ND;A
RM;PAES;SPEA2;B;B;B;B;B;ND;B;B
RM;SMPSO;SPEA2;B;B;B;B;B;B;B;B
ITO;CELLDE;MOCELL;A;A;A;A;ND;A;ND;ND
ITO;CELLDE;NSGAII;B;B;B;B;B;B;B;B
ITO;CELLDE;PAES;A;A;A;A;A;A;B;ND
ITO;CELLDE;SMPSO;ND;B;B;ND;B;ND;A;ND
ITO;CELLDE;SPEA2;B;B;B;B;B;B;B;B
ITO;MOCELL;NSGAII;B;B;B;B;B;B;B;B
ITO;MOCELL;PAES;A;A;A;A;A;A;B;ND
ITO;MOCELL;SMPSO;B;B;B;B;B;B;ND;ND
ITO;MOCELL;SPEA2;B;B;B;B;B;B;B;B
ITO;NSGAII;PAES;A;A;A;A;A;A;A;A
ITO;NSGAII;SMPSO;A;A;A;A;A;A;A;A
ITO;NSGAII;SPEA2;ND;ND;ND;ND;ND;A;ND;ND
ITO;PAES;SMPSO;B;B;B;B;B;B;A;ND
ITO;PAES;SPEA2;B;B;B;B;B;B;B;B
ITO;SMPSO;SPEA2;B;B;B;B;B;B;B;B
