CaseStudy;A;B;HV;IGD;EP;GD;GS;ED;PFS;C
RALIC;MOCELL;NSGAII;A;A;B;A;A;A;B;NaN
RALIC;MOCELL;PAES;A;A;A;B;A;A;A;NaN
RALIC;MOCELL;SPEA2;A;A;A;A;B;A;B;NaN
RALIC;NSGAII;PAES;B;A;A;B;A;B;A;NaN
RALIC;NSGAII;SPEA2;B;A;A;B;B;B;NaN;NaN
RALIC;PAES;SPEA2;A;B;A;A;B;A;B;NaN
WORD;MOCELL;NSGAII;A;B;B;A;A;A;ND;NaN
WORD;MOCELL;PAES;A;A;A;B;A;A;ND;NaN
WORD;MOCELL;SPEA2;ND;B;B;B;B;ND;ND;NaN
WORD;NSGAII;PAES;A;A;A;B;A;ND;NaN;NaN
WORD;NSGAII;SPEA2;B;B;ND;B;B;B;NaN;NaN
WORD;PAES;SPEA2;B;B;B;A;B;B;NaN;NaN
NRL;MOCELL;NSGAII;B;B;B;B;A;ND;B;NaN
NRL;MOCELL;PAES;A;A;A;B;A;A;B;NaN
NRL;MOCELL;SPEA2;B;B;B;B;B;NaN;B;NaN
NRL;NSGAII;PAES;A;A;A;B;A;ND;NaN;NaN
NRL;NSGAII;SPEA2;B;ND;B;B;B;ND;NaN;NaN
NRL;PAES;SPEA2;B;B;B;B;B;B;NaN;NaN
