CaseStudy;A;B;HV;IGD;EP;GD;GS;ED;PFS;C
UT1;CELLDE;MOCELL;ND;ND;ND;ND;ND;ND;ND;ND
UT1;CELLDE;NSGAII;ND;ND;ND;ND;ND;A;B;ND
UT1;CELLDE;PAES;ND;ND;ND;ND;ND;A;B;ND
UT1;CELLDE;SMPSO;ND;ND;ND;ND;ND;ND;ND;ND
UT1;CELLDE;SPEA2;ND;ND;A;ND;ND;ND;B;ND
UT1;MOCELL;NSGAII;ND;ND;ND;ND;ND;A;B;ND
UT1;MOCELL;PAES;ND;ND;ND;ND;ND;A;B;ND
UT1;MOCELL;SMPSO;ND;ND;ND;ND;ND;ND;ND;ND
UT1;MOCELL;SPEA2;ND;ND;A;ND;ND;ND;B;ND
UT1;NSGAII;PAES;ND;ND;ND;ND;ND;ND;ND;ND
UT1;NSGAII;SMPSO;ND;ND;ND;ND;ND;B;A;ND
UT1;NSGAII;SPEA2;ND;ND;A;ND;ND;B;ND;ND
UT1;PAES;SMPSO;ND;ND;ND;ND;ND;B;A;ND
UT1;PAES;SPEA2;ND;ND;A;ND;ND;B;ND;ND
UT1;SMPSO;SPEA2;ND;ND;A;ND;ND;ND;B;ND
UT2;CELLDE;MOCELL;ND;ND;ND;ND;ND;ND;ND;ND
UT2;CELLDE;NSGAII;ND;ND;ND;B;B;ND;B;ND
UT2;CELLDE;PAES;ND;ND;ND;B;B;ND;B;ND
UT2;CELLDE;SMPSO;ND;ND;ND;ND;ND;ND;ND;ND
UT2;CELLDE;SPEA2;ND;ND;ND;B;B;ND;B;ND
UT2;MOCELL;NSGAII;ND;ND;ND;B;B;ND;B;ND
UT2;MOCELL;PAES;ND;ND;ND;B;B;ND;B;ND
UT2;MOCELL;SMPSO;ND;ND;ND;ND;ND;ND;ND;ND
UT2;MOCELL;SPEA2;ND;ND;ND;B;B;ND;B;ND
UT2;NSGAII;PAES;ND;ND;ND;ND;ND;ND;ND;ND
UT2;NSGAII;SMPSO;ND;ND;ND;A;A;ND;A;ND
UT2;NSGAII;SPEA2;ND;ND;ND;B;B;ND;ND;ND
UT2;PAES;SMPSO;ND;ND;ND;A;A;ND;A;ND
UT2;PAES;SPEA2;ND;ND;ND;B;B;ND;ND;ND
UT2;SMPSO;SPEA2;ND;ND;ND;B;B;ND;B;ND
UT3;CELLDE;MOCELL;ND;ND;ND;ND;ND;ND;ND;ND
UT3;CELLDE;NSGAII;ND;ND;ND;ND;ND;A;B;ND
UT3;CELLDE;PAES;ND;ND;ND;ND;ND;A;B;ND
UT3;CELLDE;SMPSO;ND;ND;ND;ND;ND;A;B;ND
UT3;CELLDE;SPEA2;ND;ND;ND;ND;ND;ND;B;ND
UT3;MOCELL;NSGAII;ND;ND;ND;ND;ND;A;B;ND
UT3;MOCELL;PAES;ND;ND;ND;ND;ND;A;B;ND
UT3;MOCELL;SMPSO;ND;ND;ND;ND;ND;A;B;ND
UT3;MOCELL;SPEA2;ND;ND;ND;ND;ND;ND;B;ND
UT3;NSGAII;PAES;ND;ND;ND;ND;ND;ND;ND;ND
UT3;NSGAII;SMPSO;ND;ND;ND;ND;ND;A;A;ND
UT3;NSGAII;SPEA2;ND;ND;ND;ND;ND;B;ND;ND
UT3;PAES;SMPSO;ND;ND;ND;ND;ND;A;A;ND
UT3;PAES;SPEA2;ND;ND;ND;ND;ND;B;ND;ND
UT3;SMPSO;SPEA2;ND;ND;ND;ND;ND;B;B;ND
UT4;CELLDE;MOCELL;ND;ND;ND;ND;ND;ND;ND;ND
UT4;CELLDE;NSGAII;ND;ND;ND;B;B;ND;B;ND
UT4;CELLDE;PAES;ND;ND;ND;B;B;ND;B;ND
UT4;CELLDE;SMPSO;ND;ND;ND;ND;ND;ND;ND;ND
UT4;CELLDE;SPEA2;ND;ND;ND;B;B;ND;B;ND
UT4;MOCELL;NSGAII;ND;ND;ND;B;B;ND;B;ND
UT4;MOCELL;PAES;ND;ND;ND;B;B;ND;B;ND
UT4;MOCELL;SMPSO;ND;ND;ND;ND;ND;ND;ND;ND
UT4;MOCELL;SPEA2;ND;ND;ND;B;B;ND;B;ND
UT4;NSGAII;PAES;ND;ND;ND;ND;B;ND;ND;ND
UT4;NSGAII;SMPSO;ND;ND;ND;A;A;ND;A;ND
UT4;NSGAII;SPEA2;ND;ND;ND;B;B;ND;ND;ND
UT4;PAES;SMPSO;ND;ND;ND;A;A;ND;A;ND
UT4;PAES;SPEA2;ND;ND;ND;B;B;ND;ND;ND
UT4;SMPSO;SPEA2;ND;ND;ND;B;B;ND;B;ND
