QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	FirstSelPerc	SecondSelPerc
C	1	CELLDE_MOCELL	CELLDE	MOCELL	3	2	0.214285714285714	0.111111111111111
C	2	CELLDE_NSGA-II	CELLDE	NSGA-II	2	5	0.142857142857143	0.277777777777778
C	3	CELLDE_PAES	CELLDE	PAES	3	2	0.214285714285714	0.111111111111111
C	4	CELLDE_SMPSO	CELLDE	SMPSO	1	2	0.0714285714285714	0.133333333333333
C	5	CELLDE_SPEA2	CELLDE	SPEA2	2	7	0.142857142857143	0.388888888888889
C	6	MOCELL_NSGA-II	MOCELL	NSGA-II	1	4	0.0555555555555556	0.222222222222222
C	7	MOCELL_PAES	MOCELL	PAES	3	0	0.166666666666667	0
C	8	MOCELL_SMPSO	MOCELL	SMPSO	3	2	0.166666666666667	0.133333333333333
C	9	MOCELL_SPEA2	MOCELL	SPEA2	1	5	0.0555555555555556	0.277777777777778
C	10	NSGA-II_PAES	NSGA-II	PAES	6	0	0.333333333333333	0
C	11	NSGA-II_SMPSO	NSGA-II	SMPSO	4	1	0.222222222222222	0.0666666666666667
C	12	NSGA-II_SPEA2	NSGA-II	SPEA2	2	3	0.111111111111111	0.166666666666667
C	13	PAES_SMPSO	PAES	SMPSO	2	2	0.111111111111111	0.133333333333333
C	14	PAES_SPEA2	PAES	SPEA2	0	5	0	0.277777777777778
C	15	SMPSO_SPEA2	SMPSO	SPEA2	2	5	0.133333333333333	0.277777777777778
