QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	FirstSelPerc	SecondSelPerc
ED	1	CELLDE_MOCELL	CELLDE	MOCELL	5	6	0.357142857142857	0.333333333333333
ED	2	CELLDE_NSGA-II	CELLDE	NSGA-II	3	9	0.214285714285714	0.5
ED	3	CELLDE_PAES	CELLDE	PAES	7	5	0.5	0.277777777777778
ED	4	CELLDE_SMPSO	CELLDE	SMPSO	3	8	0.214285714285714	0.533333333333333
ED	5	CELLDE_SPEA2	CELLDE	SPEA2	3	6	0.214285714285714	0.333333333333333
ED	6	MOCELL_NSGA-II	MOCELL	NSGA-II	2	11	0.111111111111111	0.611111111111111
ED	7	MOCELL_PAES	MOCELL	PAES	7	7	0.388888888888889	0.388888888888889
ED	8	MOCELL_SMPSO	MOCELL	SMPSO	5	7	0.277777777777778	0.466666666666667
ED	9	MOCELL_SPEA2	MOCELL	SPEA2	2	9	0.111111111111111	0.5
ED	10	NSGA-II_PAES	NSGA-II	PAES	8	2	0.444444444444444	0.111111111111111
ED	11	NSGA-II_SMPSO	NSGA-II	SMPSO	9	4	0.5	0.266666666666667
ED	12	NSGA-II_SPEA2	NSGA-II	SPEA2	7	5	0.388888888888889	0.277777777777778
ED	13	PAES_SMPSO	PAES	SMPSO	4	9	0.222222222222222	0.6
ED	14	PAES_SPEA2	PAES	SPEA2	5	10	0.277777777777778	0.555555555555556
ED	15	SMPSO_SPEA2	SMPSO	SPEA2	5	8	0.333333333333333	0.444444444444444
