QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	FirstSelPerc	SecondSelPerc
EP	1	CELLDE_MOCELL	CELLDE	MOCELL	7	3	0.5	0.166666666666667
EP	2	CELLDE_NSGA-II	CELLDE	NSGA-II	3	7	0.214285714285714	0.388888888888889
EP	3	CELLDE_PAES	CELLDE	PAES	8	2	0.571428571428571	0.111111111111111
EP	4	CELLDE_SMPSO	CELLDE	SMPSO	2	8	0.142857142857143	0.533333333333333
EP	5	CELLDE_SPEA2	CELLDE	SPEA2	3	7	0.214285714285714	0.388888888888889
EP	6	MOCELL_NSGA-II	MOCELL	NSGA-II	1	12	0.0555555555555556	0.666666666666667
EP	7	MOCELL_PAES	MOCELL	PAES	9	3	0.5	0.166666666666667
EP	8	MOCELL_SMPSO	MOCELL	SMPSO	2	7	0.111111111111111	0.466666666666667
EP	9	MOCELL_SPEA2	MOCELL	SPEA2	1	12	0.0555555555555556	0.666666666666667
EP	10	NSGA-II_PAES	NSGA-II	PAES	12	2	0.666666666666667	0.111111111111111
EP	11	NSGA-II_SMPSO	NSGA-II	SMPSO	7	4	0.388888888888889	0.266666666666667
EP	12	NSGA-II_SPEA2	NSGA-II	SPEA2	8	3	0.444444444444444	0.166666666666667
EP	13	PAES_SMPSO	PAES	SMPSO	1	10	0.0555555555555556	0.666666666666667
EP	14	PAES_SPEA2	PAES	SPEA2	2	11	0.111111111111111	0.611111111111111
EP	15	SMPSO_SPEA2	SMPSO	SPEA2	5	6	0.333333333333333	0.333333333333333
