QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	FirstSelPerc	SecondSelPerc
GD	1	CELLDE_MOCELL	CELLDE	MOCELL	5	5	0.357142857142857	0.277777777777778
GD	2	CELLDE_NSGA-II	CELLDE	NSGA-II	1	9	0.0714285714285714	0.5
GD	3	CELLDE_PAES	CELLDE	PAES	6	4	0.428571428571429	0.222222222222222
GD	4	CELLDE_SMPSO	CELLDE	SMPSO	4	5	0.285714285714286	0.333333333333333
GD	5	CELLDE_SPEA2	CELLDE	SPEA2	2	8	0.142857142857143	0.444444444444444
GD	6	MOCELL_NSGA-II	MOCELL	NSGA-II	3	11	0.166666666666667	0.611111111111111
GD	7	MOCELL_PAES	MOCELL	PAES	10	4	0.555555555555556	0.222222222222222
GD	8	MOCELL_SMPSO	MOCELL	SMPSO	6	5	0.333333333333333	0.333333333333333
GD	9	MOCELL_SPEA2	MOCELL	SPEA2	3	10	0.166666666666667	0.555555555555556
GD	10	NSGA-II_PAES	NSGA-II	PAES	12	1	0.666666666666667	0.0555555555555556
GD	11	NSGA-II_SMPSO	NSGA-II	SMPSO	10	1	0.555555555555556	0.0666666666666667
GD	12	NSGA-II_SPEA2	NSGA-II	SPEA2	5	6	0.277777777777778	0.333333333333333
GD	13	PAES_SMPSO	PAES	SMPSO	5	6	0.277777777777778	0.4
GD	14	PAES_SPEA2	PAES	SPEA2	2	12	0.111111111111111	0.666666666666667
GD	15	SMPSO_SPEA2	SMPSO	SPEA2	1	10	0.0666666666666667	0.555555555555556
