QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	FirstSelPerc	SecondSelPerc
GS	1	CELLDE_MOCELL	CELLDE	MOCELL	8	1	0.571428571428571	0.0555555555555556
GS	2	CELLDE_NSGA-II	CELLDE	NSGA-II	5	4	0.357142857142857	0.222222222222222
GS	3	CELLDE_PAES	CELLDE	PAES	12	0	0.857142857142857	0
GS	4	CELLDE_SMPSO	CELLDE	SMPSO	5	5	0.357142857142857	0.333333333333333
GS	5	CELLDE_SPEA2	CELLDE	SPEA2	7	4	0.5	0.222222222222222
GS	6	MOCELL_NSGA-II	MOCELL	NSGA-II	3	11	0.166666666666667	0.611111111111111
GS	7	MOCELL_PAES	MOCELL	PAES	10	5	0.555555555555556	0.277777777777778
GS	8	MOCELL_SMPSO	MOCELL	SMPSO	1	10	0.0555555555555556	0.666666666666667
GS	9	MOCELL_SPEA2	MOCELL	SPEA2	5	11	0.277777777777778	0.611111111111111
GS	10	NSGA-II_PAES	NSGA-II	PAES	11	4	0.611111111111111	0.222222222222222
GS	11	NSGA-II_SMPSO	NSGA-II	SMPSO	3	9	0.166666666666667	0.6
GS	12	NSGA-II_SPEA2	NSGA-II	SPEA2	10	5	0.555555555555556	0.277777777777778
GS	13	PAES_SMPSO	PAES	SMPSO	0	12	0	0.8
GS	14	PAES_SPEA2	PAES	SPEA2	5	10	0.277777777777778	0.555555555555556
GS	15	SMPSO_SPEA2	SMPSO	SPEA2	9	3	0.6	0.166666666666667
