QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	FirstSelPerc	SecondSelPerc
PFS	1	CELLDE_MOCELL	CELLDE	MOCELL	5	3	0.357142857142857	0.166666666666667
PFS	2	CELLDE_NSGA-II	CELLDE	NSGA-II	1	12	0.0714285714285714	0.666666666666667
PFS	3	CELLDE_PAES	CELLDE	PAES	3	10	0.214285714285714	0.555555555555556
PFS	4	CELLDE_SMPSO	CELLDE	SMPSO	4	5	0.285714285714286	0.333333333333333
PFS	5	CELLDE_SPEA2	CELLDE	SPEA2	1	12	0.0714285714285714	0.666666666666667
PFS	6	MOCELL_NSGA-II	MOCELL	NSGA-II	0	14	0	0.777777777777778
PFS	7	MOCELL_PAES	MOCELL	PAES	5	10	0.277777777777778	0.555555555555556
PFS	8	MOCELL_SMPSO	MOCELL	SMPSO	3	7	0.166666666666667	0.466666666666667
PFS	9	MOCELL_SPEA2	MOCELL	SPEA2	0	14	0	0.777777777777778
PFS	10	NSGA-II_PAES	NSGA-II	PAES	10	0	0.555555555555556	0
PFS	11	NSGA-II_SMPSO	NSGA-II	SMPSO	10	2	0.555555555555556	0.133333333333333
PFS	12	NSGA-II_SPEA2	NSGA-II	SPEA2	3	0	0.166666666666667	0
PFS	13	PAES_SMPSO	PAES	SMPSO	9	5	0.5	0.333333333333333
PFS	14	PAES_SPEA2	PAES	SPEA2	1	10	0.0555555555555556	0.555555555555556
PFS	15	SMPSO_SPEA2	SMPSO	SPEA2	2	10	0.133333333333333	0.555555555555556
