Problem	QI	Algo	Alg1	Alg2
RA	HV	MOCell	CellDE	MOCell
RA	IGD	MOCell	CellDE	MOCell
RA	EP	MOCell	CellDE	MOCell
RA	GD	CellDE	CellDE	MOCell
RA	GS	CellDE	CellDE	MOCell
RA	ED	CellDE	CellDE	MOCell
RA	PFS	CellDE	CellDE	MOCell
RA	C	ND	CellDE	MOCell
RA	HV	NSGA-II	CellDE	NSGA-II
RA	IGD	NSGA-II	CellDE	NSGA-II
RA	EP	NSGA-II	CellDE	NSGA-II
RA	GD	NSGA-II	CellDE	NSGA-II
RA	GS	ND	CellDE	NSGA-II
RA	ED	CellDE	CellDE	NSGA-II
RA	PFS	NSGA-II	CellDE	NSGA-II
RA	C	ND	CellDE	NSGA-II
RA	HV	PAES	CellDE	PAES
RA	IGD	PAES	CellDE	PAES
RA	EP	PAES	CellDE	PAES
RA	GD	PAES	CellDE	PAES
RA	GS	CellDE	CellDE	PAES
RA	ED	CellDE	CellDE	PAES
RA	PFS	PAES	CellDE	PAES
RA	C	ND	CellDE	PAES
RA	HV	SMPSO	CellDE	SMPSO
RA	IGD	SMPSO	CellDE	SMPSO
RA	EP	SMPSO	CellDE	SMPSO
RA	GD	CellDE	CellDE	SMPSO
RA	GS	CellDE	CellDE	SMPSO
RA	ED	SMPSO	CellDE	SMPSO
RA	PFS	CellDE	CellDE	SMPSO
RA	C	ND	CellDE	SMPSO
RA	HV	SPEA2	CellDE	SPEA2
RA	IGD	SPEA2	CellDE	SPEA2
RA	EP	SPEA2	CellDE	SPEA2
RA	GD	SPEA2	CellDE	SPEA2
RA	GS	CellDE	CellDE	SPEA2
RA	ED	CellDE	CellDE	SPEA2
RA	PFS	SPEA2	CellDE	SPEA2
RA	C	ND	CellDE	SPEA2
RA	HV	NSGA-II	MOCell	NSGA-II
RA	IGD	NSGA-II	MOCell	NSGA-II
RA	EP	NSGA-II	MOCell	NSGA-II
RA	GD	NSGA-II	MOCell	NSGA-II
RA	GS	NSGA-II	MOCell	NSGA-II
RA	ED	NSGA-II	MOCell	NSGA-II
RA	PFS	NSGA-II	MOCell	NSGA-II
RA	C	NSGA-II	MOCell	NSGA-II
RA	HV	MOCell	MOCell	PAES
RA	IGD	MOCell	MOCell	PAES
RA	EP	MOCell	MOCell	PAES
RA	GD	PAES	MOCell	PAES
RA	GS	PAES	MOCell	PAES
RA	ED	PAES	MOCell	PAES
RA	PFS	PAES	MOCell	PAES
RA	C	ND	MOCell	PAES
RA	HV	MOCell	MOCell	SMPSO
RA	IGD	MOCell	MOCell	SMPSO
RA	EP	MOCell	MOCell	SMPSO
RA	GD	SMPSO	MOCell	SMPSO
RA	GS	SMPSO	MOCell	SMPSO
RA	ED	SMPSO	MOCell	SMPSO
RA	PFS	SMPSO	MOCell	SMPSO
RA	C	ND	MOCell	SMPSO
RA	HV	SPEA2	MOCell	SPEA2
RA	IGD	SPEA2	MOCell	SPEA2
RA	EP	SPEA2	MOCell	SPEA2
RA	GD	SPEA2	MOCell	SPEA2
RA	GS	SPEA2	MOCell	SPEA2
RA	ED	SPEA2	MOCell	SPEA2
RA	PFS	SPEA2	MOCell	SPEA2
RA	C	ND	MOCell	SPEA2
RA	HV	NSGA-II	NSGA-II	PAES
RA	IGD	NSGA-II	NSGA-II	PAES
RA	EP	NSGA-II	NSGA-II	PAES
RA	GD	NSGA-II	NSGA-II	PAES
RA	GS	NSGA-II	NSGA-II	PAES
RA	ED	NSGA-II	NSGA-II	PAES
RA	PFS	ND	NSGA-II	PAES
RA	C	ND	NSGA-II	PAES
RA	HV	NSGA-II	NSGA-II	SMPSO
RA	IGD	NSGA-II	NSGA-II	SMPSO
RA	EP	NSGA-II	NSGA-II	SMPSO
RA	GD	NSGA-II	NSGA-II	SMPSO
RA	GS	NSGA-II	NSGA-II	SMPSO
