Problem	Algo	QI	QI1	QI2
RA	CellDE	ND	HV	IGD
RA	MOCell	ND	HV	IGD
RA	NSGA-II	ND	HV	IGD
RA	PAES	ND	HV	IGD
RA	SMPSO	ND	HV	IGD
RA	SPEA2	ND	HV	IGD
RA	CellDE	ND	HV	EP
RA	MOCell	ND	HV	EP
RA	NSGA-II	ND	HV	EP
RA	PAES	ND	HV	EP
RA	SMPSO	ND	HV	EP
RA	SPEA2	ND	HV	EP
RA	CellDE	GD	HV	GD
RA	MOCell	HV	HV	GD
RA	NSGA-II	ND	HV	GD
RA	PAES	GD	HV	GD
RA	SMPSO	ND	HV	GD
RA	SPEA2	ND	HV	GD
RA	CellDE	GS	HV	GS
RA	MOCell	HV	HV	GS
RA	NSGA-II	HV	HV	GS
RA	PAES	HV	HV	GS
RA	SMPSO	ND	HV	GS
RA	SPEA2	HV	HV	GS
RA	CellDE	ED	HV	ED
RA	MOCell	HV	HV	ED
RA	NSGA-II	HV	HV	ED
RA	PAES	HV	HV	ED
RA	SMPSO	ED	HV	ED
RA	SPEA2	HV	HV	ED
RA	CellDE	PFS	HV	PFS
RA	MOCell	HV	HV	PFS
RA	NSGA-II	HV	HV	PFS
RA	PAES	PFS	HV	PFS
RA	SMPSO	ND	HV	PFS
RA	SPEA2	HV	HV	PFS
RA	CellDE	ND	HV	C
RA	MOCell	HV	HV	C
RA	NSGA-II	HV	HV	C
RA	PAES	HV	HV	C
RA	SMPSO	HV	HV	C
RA	SPEA2	HV	HV	C
RA	CellDE	ND	IGD	EP
RA	MOCell	ND	IGD	EP
RA	NSGA-II	ND	IGD	EP
RA	PAES	ND	IGD	EP
RA	SMPSO	ND	IGD	EP
RA	SPEA2	ND	IGD	EP
RA	CellDE	GD	IGD	GD
RA	MOCell	IGD	IGD	GD
RA	NSGA-II	ND	IGD	GD
RA	PAES	GD	IGD	GD
RA	SMPSO	ND	IGD	GD
RA	SPEA2	ND	IGD	GD
RA	CellDE	GS	IGD	GS
RA	MOCell	IGD	IGD	GS
RA	NSGA-II	IGD	IGD	GS
RA	PAES	IGD	IGD	GS
RA	SMPSO	ND	IGD	GS
RA	SPEA2	IGD	IGD	GS
RA	CellDE	ED	IGD	ED
RA	MOCell	IGD	IGD	ED
RA	NSGA-II	IGD	IGD	ED
RA	PAES	IGD	IGD	ED
RA	SMPSO	ED	IGD	ED
RA	SPEA2	IGD	IGD	ED
RA	CellDE	PFS	IGD	PFS
RA	MOCell	IGD	IGD	PFS
RA	NSGA-II	IGD	IGD	PFS
RA	PAES	PFS	IGD	PFS
RA	SMPSO	ND	IGD	PFS
RA	SPEA2	IGD	IGD	PFS
RA	CellDE	ND	IGD	C
RA	MOCell	IGD	IGD	C
RA	NSGA-II	IGD	IGD	C
RA	PAES	IGD	IGD	C
RA	SMPSO	IGD	IGD	C
RA	SPEA2	IGD	IGD	C
RA	CellDE	GD	EP	GD
RA	MOCell	EP	EP	GD
RA	NSGA-II	ND	EP	GD
RA	PAES	GD	EP	GD
RA	SMPSO	ND	EP	GD
RA	SPEA2	ND	EP	GD
RA	CellDE	GS	EP	GS
RA	MOCell	EP	EP	GS
RA	NSGA-II	EP	EP	GS
RA	PAES	EP	EP	GS
RA	SMPSO	ND	EP	GS
RA	SPEA2	EP	EP	GS
RA	CellDE	ED	EP	ED
RA	MOCell	EP	EP	ED
RA	NSGA-II	EP	EP	ED
RA	PAES	EP	EP	ED
RA	SMPSO	ED	EP	ED
RA	SPEA2	EP	EP	ED
RA	CellDE	PFS	EP	PFS
RA	MOCell	EP	EP	PFS
RA	NSGA-II	EP	EP	PFS
RA	PAES	PFS	EP	PFS
RA	SMPSO	ND	EP	PFS
RA	SPEA2	EP	EP	PFS
RA	CellDE	ND	EP	C
RA	MOCell	EP	EP	C
RA	NSGA-II	EP	EP	C
RA	PAES	EP	EP	C
RA	SMPSO	EP	EP	C
RA	SPEA2	EP	EP	C
RA	CellDE	GS	GD	GS
RA	MOCell	ND	GD	GS
RA	NSGA-II	GD	GD	GS
RA	PAES	GD	GD	GS
RA	SMPSO	ND	GD	GS
RA	SPEA2	GD	GD	GS
RA	CellDE	ED	GD	ED
RA	MOCell	ND	GD	ED
RA	NSGA-II	GD	GD	ED
RA	PAES	GD	GD	ED
RA	SMPSO	ED	GD	ED
RA	SPEA2	GD	GD	ED
RA	CellDE	ND	GD	PFS
RA	MOCell	ND	GD	PFS
RA	NSGA-II	GD	GD	PFS
RA	PAES	PFS	GD	PFS
RA	SMPSO	ND	GD	PFS
RA	SPEA2	GD	GD	PFS
RA	CellDE	GD	GD	C
RA	MOCell	ND	GD	C
RA	NSGA-II	GD	GD	C
RA	PAES	GD	GD	C
RA	SMPSO	GD	GD	C
RA	SPEA2	GD	GD	C
RA	CellDE	ND	GS	ED
RA	MOCell	ND	GS	ED
RA	NSGA-II	GS	GS	ED
RA	PAES	ND	GS	ED
RA	SMPSO	ED	GS	ED
RA	SPEA2	ED	GS	ED
RA	CellDE	GS	GS	PFS
RA	MOCell	ND	GS	PFS
RA	NSGA-II	ND	GS	PFS
RA	PAES	PFS	GS	PFS
RA	SMPSO	ND	GS	PFS
RA	SPEA2	PFS	GS	PFS
RA	CellDE	GS	GS	C
RA	MOCell	ND	GS	C
RA	NSGA-II	GS	GS	C
RA	PAES	GS	GS	C
RA	SMPSO	GS	GS	C
RA	SPEA2	GS	GS	C
RA	CellDE	ED	ED	PFS
RA	MOCell	ND	ED	PFS
RA	NSGA-II	PFS	ED	PFS
RA	PAES	PFS	ED	PFS
RA	SMPSO	ED	ED	PFS
RA	SPEA2	PFS	ED	PFS
RA	CellDE	ED	ED	C
RA	MOCell	ND	ED	C
RA	NSGA-II	ND	ED	C
RA	PAES	ED	ED	C
