QI	Algo	Counter	Percentage	PercentageII
HV	CellDE	21	0.3	30
HV	MOCell	22	0.265060240963855	26.5060240963855
HV	NSGA-II	44	0.530120481927711	53.0120481927711
HV	PAES	6	0.072289156626506	7.2289156626506
HV	SMPSO	30	0.405405405405405	40.5405405405405
HV	SPEA2	43	0.518072289156627	51.8072289156626
IGD	CellDE	17	0.242857142857143	24.2857142857143
IGD	MOCell	23	0.27710843373494	27.710843373494
IGD	NSGA-II	44	0.530120481927711	53.0120481927711
IGD	PAES	18	0.216867469879518	21.6867469879518
IGD	SMPSO	25	0.337837837837838	33.7837837837838
IGD	SPEA2	44	0.530120481927711	53.0120481927711
EP	CellDE	23	0.328571428571429	32.8571428571429
EP	MOCell	20	0.240963855421687	24.0963855421687
EP	NSGA-II	41	0.493975903614458	49.3975903614458
EP	PAES	11	0.132530120481928	13.2530120481928
EP	SMPSO	34	0.459459459459459	45.945945945946
EP	SPEA2	51	0.614457831325301	61.4457831325301
GD	CellDE	18	0.257142857142857	25.7142857142857
GD	MOCell	29	0.349397590361446	34.9397590361446
GD	NSGA-II	49	0.590361445783133	59.0361445783133
GD	PAES	14	0.168674698795181	16.8674698795181
GD	SMPSO	18	0.243243243243243	24.3243243243243
GD	SPEA2	45	0.542168674698795	54.2168674698795
GS	CellDE	36	0.514285714285714	51.4285714285714
GS	MOCell	19	0.228915662650602	22.8915662650602
GS	NSGA-II	40	0.481927710843373	48.1927710843374
GS	PAES	14	0.168674698795181	16.8674698795181
GS	SMPSO	44	0.594594594594595	59.4594594594595
GS	SPEA2	33	0.397590361445783	39.7590361445783
ED	CellDE	21	0.3	30
ED	MOCell	18	0.216867469879518	21.6867469879518
ED	NSGA-II	47	0.566265060240964	56.6265060240964
ED	PAES	27	0.325301204819277	32.5301204819277
ED	SMPSO	24	0.324324324324324	32.4324324324324
ED	SPEA2	38	0.457831325301205	45.7831325301205
PFS	CellDE	14	0.2	20
PFS	MOCell	11	0.132530120481928	13.2530120481928
PFS	NSGA-II	49	0.590361445783133	59.0361445783133
PFS	PAES	30	0.36144578313253	36.144578313253
PFS	SMPSO	21	0.283783783783784	28.3783783783784
PFS	SPEA2	46	0.55421686746988	55.421686746988
C	CellDE	11	0.157142857142857	15.7142857142857
C	MOCell	10	0.120481927710843	12.0481927710843
C	NSGA-II	21	0.253012048192771	25.3012048192771
C	PAES	4	0.0481927710843374	4.81927710843374
C	SMPSO	9	0.121621621621622	12.1621621621622
C	SPEA2	25	0.301204819277108	30.1204819277108
