NameOfProblem	QI	Algo	Counter	Percentage	PercentageII
RA	HV	CellDE	0	0	0
RA	HV	MOCell	3	0.6	60
RA	HV	NSGA-II	5	1	100
RA	HV	PAES	2	0.4	40
RA	HV	SMPSO	1	0.2	20
RA	HV	SPEA2	4	0.8	80
RA	IGD	CellDE	0	0	0
RA	IGD	MOCell	3	0.6	60
RA	IGD	NSGA-II	5	1	100
RA	IGD	PAES	2	0.4	40
RA	IGD	SMPSO	1	0.2	20
RA	IGD	SPEA2	4	0.8	80
RA	EP	CellDE	0	0	0
RA	EP	MOCell	3	0.6	60
RA	EP	NSGA-II	5	1	100
RA	EP	PAES	2	0.4	40
RA	EP	SMPSO	1	0.2	20
RA	EP	SPEA2	4	0.8	80
RA	GD	CellDE	2	0.4	40
RA	GD	MOCell	0	0	0
RA	GD	NSGA-II	5	1	100
RA	GD	PAES	3	0.6	60
RA	GD	SMPSO	1	0.2	20
RA	GD	SPEA2	4	0.8	80
RA	GS	CellDE	4	0.8	80
RA	GS	MOCell	0	0	0
RA	GS	NSGA-II	4	0.8	80
RA	GS	PAES	1	0.2	20
RA	GS	SMPSO	1	0.2	20
RA	GS	SPEA2	1	0.2	20
RA	ED	CellDE	4	0.8	80
RA	ED	MOCell	0	0	0
RA	ED	NSGA-II	3	0.6	60
RA	ED	PAES	1	0.2	20
RA	ED	SMPSO	5	1	100
RA	ED	SPEA2	2	0.4	40
RA	PFS	CellDE	2	0.4	40
RA	PFS	MOCell	0	0	0
RA	PFS	NSGA-II	4	0.8	80
RA	PFS	PAES	4	0.8	80
RA	PFS	SMPSO	1	0.2	20
RA	PFS	SPEA2	3	0.6	60
RA	C	CellDE	0	0	0
RA	C	MOCell	0	0	0
RA	C	NSGA-II	3	0.6	60
RA	C	PAES	0	0	0
RA	C	SMPSO	0	0	0
RA	C	SPEA2	0	0	0
TS	HV	CellDE	1	0.2	20
TS	HV	MOCell	2	0.4	40
TS	HV	NSGA-II	5	1	100
TS	HV	PAES	0	0	0
TS	HV	SMPSO	2	0.4	40
TS	HV	SPEA2	3	0.6	60
TS	IGD	CellDE	1	0.2	20
TS	IGD	MOCell	3	0.6	60
TS	IGD	NSGA-II	4	0.8	80
TS	IGD	PAES	0	0	0
TS	IGD	SMPSO	2	0.4	40
TS	IGD	SPEA2	5	1	100
TS	EP	CellDE	2	0.4	40
TS	EP	MOCell	1	0.2	20
TS	EP	NSGA-II	5	1	100
TS	EP	PAES	0	0	0
TS	EP	SMPSO	4	0.8	80
TS	EP	SPEA2	3	0.6	60
TS	GD	CellDE	1	0.2	20
TS	GD	MOCell	3	0.6	60
TS	GD	NSGA-II	4	0.8	80
TS	GD	PAES	0	0	0
TS	GD	SMPSO	2	0.4	40
TS	GD	SPEA2	5	1	100
TS	GS	CellDE	4	0.8	80
TS	GS	MOCell	1	0.2	20
TS	GS	NSGA-II	2	0.4	40
TS	GS	PAES	0	0	0
TS	GS	SMPSO	3	0.6	60
TS	GS	SPEA2	5	1	100
TS	ED	CellDE	1	0.2	20
TS	ED	MOCell	3	0.6	60
TS	ED	NSGA-II	4	0.8	80
TS	ED	PAES	0	0	0
TS	ED	SMPSO	2	0.4	40
TS	ED	SPEA2	5	1	100
TS	PFS	CellDE	1	0.2	20
TS	PFS	MOCell	1	0.2	20
TS	PFS	NSGA-II	3	0.6	60
TS	PFS	PAES	1	0.2	20
TS	PFS	SMPSO	0	0	0
TS	PFS	SPEA2	3	0.6	60
TS	C	CellDE	0	0	0
TS	C	MOCell	0	0	0
TS	C	NSGA-II	2	0.4	40
TS	C	PAES	0	0	0
TS	C	SMPSO	0	0	0
TS	C	SPEA2	2	0.4	40
TRA	HV	CellDE	4	0.8	80
TRA	HV	MOCell	0	0	0
TRA	HV	NSGA-II	2	0.4	40
TRA	HV	PAES	0	0	0
TRA	HV	SMPSO	5	1	100
TRA	HV	SPEA2	3	0.6	60
TRA	IGD	CellDE	4	0.8	80
TRA	IGD	MOCell	0	0	0
TRA	IGD	NSGA-II	1	0.2	20
TRA	IGD	PAES	1	0.2	20
TRA	IGD	SMPSO	5	1	100
