QI	Algo1	Algo2	PreferredPaired	PreferredUnpaired
HV	CellDE	PAES	EQUAL	CellDE
HV	MOCell	NSGA-II	NSGA-II	EQUAL
IGD	CellDE	NSGA-II	NSGA-II	EQUAL
IGD	CellDE	SPEA2	SPEA2	EQUAL
IGD	NSGA-II	SMPSO	NSGA-II	EQUAL
IGD	PAES	SMPSO	SMPSO	EQUAL
IGD	SMPSO	SPEA2	SPEA2	EQUAL
EP	CellDE	PAES	CellDE	EQUAL
EP	MOCell	NSGA-II	NSGA-II	EQUAL
EP	NSGA-II	PAES	EQUAL	NSGA-II
EP	PAES	SPEA2	EQUAL	SPEA2
GD	MOCell	NSGA-II	NSGA-II	EQUAL
GD	MOCell	PAES	MOCell	EQUAL
GD	SMPSO	SPEA2	SPEA2	EQUAL
ED	MOCell	SPEA2	SPEA2	EQUAL
ED	NSGA-II	SMPSO	EQUAL	NSGA-II
PFS	MOCell	PAES	EQUAL	PAES
PFS	PAES	SPEA2	SPEA2	EQUAL
