QI	Algo1	Algo2	Preferred
HV	CELLDE	PAES	CELLDE
HV	MOCELL	PAES	MOCELL
HV	NSGA-II	MOCELL	NSGA-II
HV	NSGA-II	PAES	NSGA-II
HV	SMPSO	PAES	SMPSO
HV	SPEA2	MOCELL	SPEA2
HV	SPEA2	PAES	SPEA2
IGD	NSGA-II	CELLDE	NSGA-II
IGD	NSGA-II	MOCELL	NSGA-II
IGD	NSGA-II	PAES	NSGA-II
IGD	NSGA-II	SMPSO	NSGA-II
IGD	SPEA2	MOCELL	SPEA2
IGD	SPEA2	PAES	SPEA2
EP	NSGA-II	MOCELL	NSGA-II
EP	NSGA-II	PAES	NSGA-II
EP	SMPSO	MOCELL	SMPSO
EP	SMPSO	PAES	SMPSO
EP	SPEA2	MOCELL	SPEA2
EP	SPEA2	PAES	SPEA2
GD	NSGA-II	CELLDE	NSGA-II
GD	NSGA-II	PAES	NSGA-II
GD	NSGA-II	SMPSO	NSGA-II
GD	SPEA2	PAES	SPEA2
GD	SPEA2	SMPSO	SPEA2
GS	CELLDE	MOCELL	CELLDE
GS	CELLDE	PAES	CELLDE
GS	NSGA-II	MOCELL	NSGA-II
GS	NSGA-II	PAES	NSGA-II
GS	SMPSO	MOCELL	SMPSO
GS	SMPSO	PAES	SMPSO
ED	NSGA-II	MOCELL	NSGA-II
PFS	NSGA-II	CELLDE	NSGA-II
PFS	NSGA-II	MOCELL	NSGA-II
PFS	NSGA-II	PAES	NSGA-II
PFS	NSGA-II	SMPSO	NSGA-II
PFS	PAES	MOCELL	PAES
PFS	SPEA2	CELLDE	SPEA2
PFS	SPEA2	MOCELL	SPEA2
PFS	SPEA2	PAES	SPEA2
PFS	SPEA2	SMPSO	SPEA2
C	NSGA-II	PAES	NSGA-II
C	SPEA2	PAES	SPEA2
