QI	Algo1	Algo2	Preferred
HV	CELLDE	MOCELL	CELLDE
HV	CELLDE	PAES	CELLDE
HV	CELLDE	SMPSO	CELLDE
HV	MOCELL	CELLDE	MOCELL
HV	MOCELL	PAES	MOCELL
HV	MOCELL	SMPSO	MOCELL
HV	NSGA-II	CELLDE	NSGA-II
HV	NSGA-II	MOCELL	NSGA-II
HV	NSGA-II	PAES	NSGA-II
HV	NSGA-II	SMPSO	NSGA-II
HV	NSGA-II	SPEA2	NSGA-II
HV	PAES	CELLDE	PAES
HV	SMPSO	CELLDE	SMPSO
HV	SMPSO	MOCELL	SMPSO
HV	SMPSO	NSGA-II	SMPSO
HV	SMPSO	PAES	SMPSO
HV	SMPSO	SPEA2	SMPSO
HV	SPEA2	CELLDE	SPEA2
HV	SPEA2	MOCELL	SPEA2
HV	SPEA2	NSGA-II	SPEA2
HV	SPEA2	PAES	SPEA2
HV	SPEA2	SMPSO	SPEA2
IGD	CELLDE	MOCELL	CELLDE
IGD	CELLDE	PAES	CELLDE
IGD	CELLDE	SMPSO	CELLDE
IGD	MOCELL	CELLDE	MOCELL
IGD	MOCELL	PAES	MOCELL
IGD	MOCELL	SMPSO	MOCELL
IGD	NSGA-II	CELLDE	NSGA-II
IGD	NSGA-II	MOCELL	NSGA-II
IGD	NSGA-II	PAES	NSGA-II
IGD	NSGA-II	SMPSO	NSGA-II
IGD	NSGA-II	SPEA2	NSGA-II
IGD	PAES	CELLDE	PAES
IGD	PAES	MOCELL	PAES
IGD	PAES	SMPSO	PAES
IGD	SMPSO	CELLDE	SMPSO
IGD	SMPSO	MOCELL	SMPSO
IGD	SMPSO	PAES	SMPSO
IGD	SPEA2	CELLDE	SPEA2
IGD	SPEA2	MOCELL	SPEA2
IGD	SPEA2	NSGA-II	SPEA2
IGD	SPEA2	PAES	SPEA2
IGD	SPEA2	SMPSO	SPEA2
EP	CELLDE	MOCELL	CELLDE
EP	CELLDE	PAES	CELLDE
EP	CELLDE	SMPSO	CELLDE
EP	CELLDE	SPEA2	CELLDE
