QI	Algo1	Algo2	Preferred
HV	MOCELL	NSGA-II	NSGA-II
HV	MOCELL	PAES	MOCELL
HV	MOCELL	SPEA2	SPEA2
HV	NSGA-II	PAES	NSGA-II
HV	PAES	SMPSO	SMPSO
HV	PAES	SPEA2	SPEA2
IGD	CELLDE	NSGA-II	NSGA-II
IGD	CELLDE	SPEA2	SPEA2
IGD	MOCELL	NSGA-II	NSGA-II
IGD	MOCELL	SPEA2	SPEA2
IGD	NSGA-II	PAES	NSGA-II
IGD	NSGA-II	SMPSO	NSGA-II
IGD	PAES	SMPSO	SMPSO
IGD	PAES	SPEA2	SPEA2
IGD	SMPSO	SPEA2	SPEA2
EP	CELLDE	PAES	CELLDE
EP	MOCELL	NSGA-II	NSGA-II
EP	MOCELL	SPEA2	SPEA2
EP	NSGA-II	PAES	NSGA-II
EP	PAES	SMPSO	SMPSO
GD	CELLDE	NSGA-II	NSGA-II
GD	NSGA-II	PAES	NSGA-II
GD	NSGA-II	SMPSO	NSGA-II
GD	PAES	SPEA2	SPEA2
GD	SMPSO	SPEA2	SPEA2
GS	CELLDE	MOCELL	CELLDE
GS	CELLDE	PAES	CELLDE
GS	MOCELL	NSGA-II	NSGA-II
GS	MOCELL	SMPSO	SMPSO
GS	NSGA-II	PAES	NSGA-II
GS	PAES	SMPSO	SMPSO
ED	MOCELL	NSGA-II	NSGA-II
PFS	CELLDE	NSGA-II	NSGA-II
PFS	CELLDE	SPEA2	SPEA2
PFS	MOCELL	NSGA-II	NSGA-II
PFS	MOCELL	PAES	PAES
PFS	MOCELL	SPEA2	SPEA2
PFS	NSGA-II	PAES	NSGA-II
PFS	NSGA-II	SMPSO	NSGA-II
PFS	PAES	SPEA2	SPEA2
PFS	SMPSO	SPEA2	SPEA2
C	NSGA-II	PAES	NSGA-II
C	PAES	SPEA2	SPEA2
