Algo	QI	Counter	Percentage	PercentageII
CellDE	HV	41	0.418367346938776	41.8367346938776
CellDE	IGD	14	0.142857142857143	14.2857142857143
CellDE	EP	34	0.346938775510204	34.6938775510204
CellDE	GD	18	0.183673469387755	18.3673469387755
CellDE	GS	60	0.612244897959184	61.2244897959184
CellDE	ED	21	0.214285714285714	21.4285714285714
CellDE	PFS	13	0.13265306122449	13.265306122449
CellDE	C	5	0.0510204081632653	5.10204081632653
MOCell	HV	50	0.396825396825397	39.6825396825397
MOCell	IGD	31	0.246031746031746	24.6031746031746
MOCell	EP	23	0.182539682539683	18.2539682539683
MOCell	GD	52	0.412698412698413	41.2698412698413
MOCell	GS	44	0.349206349206349	34.9206349206349
MOCell	ED	33	0.261904761904762	26.1904761904762
MOCell	PFS	17	0.134920634920635	13.4920634920635
MOCell	C	16	0.126984126984127	12.6984126984127
NSGA-II	HV	50	0.396825396825397	39.6825396825397
NSGA-II	IGD	49	0.388888888888889	38.8888888888889
NSGA-II	EP	39	0.30952380952381	30.952380952381
NSGA-II	GD	50	0.396825396825397	39.6825396825397
NSGA-II	GS	33	0.261904761904762	26.1904761904762
NSGA-II	ED	43	0.341269841269841	34.1269841269841
NSGA-II	PFS	48	0.380952380952381	38.0952380952381
NSGA-II	C	3	0.0238095238095238	2.38095238095238
PAES	HV	24	0.19047619047619	19.047619047619
PAES	IGD	32	0.253968253968254	25.3968253968254
PAES	EP	18	0.142857142857143	14.2857142857143
PAES	GD	40	0.317460317460317	31.7460317460317
PAES	GS	37	0.293650793650794	29.3650793650794
PAES	ED	47	0.373015873015873	37.3015873015873
PAES	PFS	79	0.626984126984127	62.6984126984127
PAES	C	11	0.0873015873015873	8.73015873015873
SMPSO	HV	40	0.380952380952381	38.0952380952381
SMPSO	IGD	25	0.238095238095238	23.8095238095238
SMPSO	EP	46	0.438095238095238	43.8095238095238
SMPSO	GD	12	0.114285714285714	11.4285714285714
SMPSO	GS	69	0.657142857142857	65.7142857142857
SMPSO	ED	37	0.352380952380952	35.2380952380952
SMPSO	PFS	26	0.247619047619048	24.7619047619048
SMPSO	C	6	0.0571428571428571	5.71428571428571
SPEA2	HV	37	0.293650793650794	29.3650793650794
SPEA2	IGD	39	0.30952380952381	30.952380952381
SPEA2	EP	24	0.19047619047619	19.047619047619
SPEA2	GD	52	0.412698412698413	41.2698412698413
SPEA2	GS	19	0.150793650793651	15.0793650793651
SPEA2	ED	29	0.23015873015873	23.015873015873
SPEA2	PFS	55	0.436507936507937	43.6507936507937
SPEA2	C	14	0.111111111111111	11.1111111111111
