NameOfProblem	Algo	QI	Counter	Percentage	PercentageII
RA	CellDE	HV	0	0	0
RA	CellDE	IGD	0	0	0
RA	CellDE	EP	0	0	0
RA	CellDE	GD	4	0.571428571428571	57.1428571428571
RA	CellDE	GS	6	0.857142857142857	85.7142857142857
RA	CellDE	ED	6	0.857142857142857	85.7142857142857
RA	CellDE	PFS	4	0.571428571428571	57.1428571428571
RA	CellDE	C	0	0	0
RA	MOCell	HV	5	0.714285714285714	71.4285714285714
RA	MOCell	IGD	5	0.714285714285714	71.4285714285714
RA	MOCell	EP	5	0.714285714285714	71.4285714285714
RA	MOCell	GD	0	0	0
RA	MOCell	GS	0	0	0
RA	MOCell	ED	0	0	0
RA	MOCell	PFS	0	0	0
RA	MOCell	C	0	0	0
RA	NSGA-II	HV	4	0.571428571428571	57.1428571428571
RA	NSGA-II	IGD	4	0.571428571428571	57.1428571428571
RA	NSGA-II	EP	4	0.571428571428571	57.1428571428571
RA	NSGA-II	GD	4	0.571428571428571	57.1428571428571
RA	NSGA-II	GS	2	0.285714285714286	28.5714285714286
RA	NSGA-II	ED	0	0	0
RA	NSGA-II	PFS	2	0.285714285714286	28.5714285714286
RA	NSGA-II	C	0	0	0
RA	PAES	HV	3	0.428571428571429	42.8571428571429
RA	PAES	IGD	3	0.428571428571429	42.8571428571429
RA	PAES	EP	3	0.428571428571429	42.8571428571429
RA	PAES	GD	6	0.857142857142857	85.7142857142857
RA	PAES	GS	1	0.142857142857143	14.2857142857143
RA	PAES	ED	1	0.142857142857143	14.2857142857143
RA	PAES	PFS	7	1	100
RA	PAES	C	0	0	0
RA	SMPSO	HV	1	0.142857142857143	14.2857142857143
RA	SMPSO	IGD	1	0.142857142857143	14.2857142857143
RA	SMPSO	EP	1	0.142857142857143	14.2857142857143
RA	SMPSO	GD	1	0.142857142857143	14.2857142857143
RA	SMPSO	GS	1	0.142857142857143	14.2857142857143
RA	SMPSO	ED	7	1	100
RA	SMPSO	PFS	1	0.142857142857143	14.2857142857143
RA	SMPSO	C	0	0	0
RA	SPEA2	HV	4	0.571428571428571	57.1428571428571
RA	SPEA2	IGD	4	0.571428571428571	57.1428571428571
RA	SPEA2	EP	4	0.571428571428571	57.1428571428571
RA	SPEA2	GD	4	0.571428571428571	57.1428571428571
RA	SPEA2	GS	1	0.142857142857143	14.2857142857143
RA	SPEA2	ED	2	0.285714285714286	28.5714285714286
RA	SPEA2	PFS	3	0.428571428571429	42.8571428571429
RA	SPEA2	C	0	0	0
TS	CellDE	HV	1	0.142857142857143	14.2857142857143
TS	CellDE	IGD	1	0.142857142857143	14.2857142857143
TS	CellDE	EP	6	0.857142857142857	85.7142857142857
TS	CellDE	GD	1	0.142857142857143	14.2857142857143
TS	CellDE	GS	7	1	100
