Algo	QI1	QI2	Preferred
CellDE	HV	C	HV
CellDE	IGD	GS	GS
CellDE	EP	C	EP
CellDE	GD	GS	GS
CellDE	GS	PFS	GS
CellDE	GS	C	GS
CellDE	ED	C	ED
MOCell	IGD	PFS	IGD
MOCell	GD	PFS	GD
MOCell	GD	C	GD
MOCell	ED	PFS	ED
MOCell	ED	C	ED
NSGA-II	HV	C	HV
NSGA-II	IGD	C	IGD
NSGA-II	EP	C	EP
NSGA-II	GD	C	GD
NSGA-II	GS	C	GS
NSGA-II	ED	C	ED
NSGA-II	PFS	C	PFS
PAES	HV	GD	GD
PAES	HV	PFS	PFS
PAES	IGD	GD	GD
PAES	IGD	PFS	PFS
PAES	EP	GD	GD
PAES	EP	PFS	PFS
PAES	GD	GS	GD
PAES	GD	C	GD
PAES	GS	PFS	PFS
PAES	ED	PFS	PFS
PAES	ED	C	ED
PAES	PFS	C	PFS
SMPSO	HV	GS	GS
SMPSO	HV	C	HV
SMPSO	IGD	EP	EP
SMPSO	IGD	GS	GS
SMPSO	IGD	C	IGD
SMPSO	EP	GD	EP
SMPSO	EP	C	EP
SMPSO	GD	GS	GS
SMPSO	GS	C	GS
SPEA2	HV	GD	GD
SPEA2	IGD	C	IGD
SPEA2	EP	GD	GD
SPEA2	GD	C	GD
SPEA2	GS	C	GS
SPEA2	ED	C	ED
SPEA2	PFS	C	PFS
