Algo	QI1	QI2	Preferred
CellDE	HV	GS	GS
CellDE	HV	C	HV
CellDE	IGD	GS	GS
CellDE	EP	C	EP
CellDE	GD	GS	GS
CellDE	GS	ED	GS
CellDE	GS	PFS	GS
CellDE	GS	C	GS
MOCell	GD	ED	GD
MOCell	GD	PFS	GD
MOCell	GD	C	GD
NSGA-II	HV	C	HV
NSGA-II	IGD	C	IGD
NSGA-II	EP	C	EP
NSGA-II	GD	C	GD
NSGA-II	GS	C	GS
NSGA-II	ED	C	ED
NSGA-II	PFS	C	PFS
PAES	HV	IGD	IGD
PAES	HV	ED	ED
PAES	HV	PFS	PFS
PAES	IGD	PFS	PFS
PAES	IGD	C	IGD
PAES	EP	PFS	PFS
PAES	GD	C	GD
PAES	ED	C	ED
PAES	PFS	C	PFS
SMPSO	HV	GS	GS
SMPSO	HV	C	HV
SMPSO	IGD	EP	EP
SMPSO	IGD	GS	GS
SMPSO	IGD	C	IGD
SMPSO	EP	GD	EP
SMPSO	EP	C	EP
SMPSO	GD	GS	GS
SMPSO	GS	ED	GS
SMPSO	GS	PFS	GS
SMPSO	GS	C	GS
SPEA2	GD	GS	GD
