Algo	QI1	QI2	Preferred
CELLDE	HV	IGD	HV
CELLDE	HV	EP	HV
CELLDE	HV	GD	HV
CELLDE	HV	GS	HV
CELLDE	HV	ED	HV
CELLDE	IGD	HV	IGD
CELLDE	IGD	EP	IGD
CELLDE	IGD	GD	IGD
CELLDE	IGD	ED	IGD
CELLDE	IGD	PFS	IGD
CELLDE	IGD	C	IGD
CELLDE	EP	HV	EP
CELLDE	EP	IGD	EP
CELLDE	EP	GD	EP
CELLDE	EP	GS	EP
CELLDE	EP	ED	EP
CELLDE	EP	PFS	EP
CELLDE	GD	HV	GD
CELLDE	GD	IGD	GD
CELLDE	GD	EP	GD
CELLDE	GD	ED	GD
CELLDE	GD	PFS	GD
CELLDE	GD	C	GD
CELLDE	GS	HV	GS
CELLDE	GS	EP	GS
CELLDE	ED	HV	ED
CELLDE	ED	IGD	ED
CELLDE	ED	EP	ED
CELLDE	ED	GD	ED
CELLDE	ED	PFS	ED
CELLDE	ED	C	ED
CELLDE	PFS	IGD	PFS
CELLDE	PFS	EP	PFS
CELLDE	PFS	GD	PFS
CELLDE	PFS	ED	PFS
CELLDE	PFS	C	PFS
CELLDE	C	IGD	C
CELLDE	C	GD	C
CELLDE	C	ED	C
CELLDE	C	PFS	C
MOCELL	HV	IGD	HV
MOCELL	HV	EP	HV
MOCELL	HV	GD	HV
MOCELL	HV	GS	HV
MOCELL	HV	ED	HV
MOCELL	IGD	HV	IGD
MOCELL	IGD	EP	IGD
MOCELL	IGD	GD	IGD
MOCELL	IGD	GS	IGD
MOCELL	IGD	ED	IGD
MOCELL	IGD	PFS	IGD
MOCELL	IGD	C	IGD
MOCELL	EP	HV	EP
MOCELL	EP	IGD	EP
MOCELL	EP	GD	EP
MOCELL	EP	GS	EP
MOCELL	EP	ED	EP
MOCELL	EP	PFS	EP
MOCELL	EP	C	EP
MOCELL	GD	HV	GD
MOCELL	GD	IGD	GD
MOCELL	GD	EP	GD
MOCELL	GD	GS	GD
MOCELL	GD	ED	GD
MOCELL	GS	HV	GS
MOCELL	GS	IGD	GS
MOCELL	GS	EP	GS
MOCELL	GS	GD	GS
MOCELL	GS	ED	GS
MOCELL	ED	HV	ED
MOCELL	ED	IGD	ED
MOCELL	ED	EP	ED
MOCELL	ED	GD	ED
MOCELL	ED	GS	ED
MOCELL	ED	PFS	ED
MOCELL	ED	C	ED
MOCELL	PFS	IGD	PFS
MOCELL	PFS	EP	PFS
MOCELL	PFS	ED	PFS
MOCELL	PFS	C	PFS
MOCELL	C	IGD	C
MOCELL	C	EP	C
MOCELL	C	ED	C
MOCELL	C	PFS	C
NSGA-II	HV	IGD	HV
NSGA-II	HV	EP	HV
NSGA-II	HV	GD	HV
NSGA-II	HV	GS	HV
NSGA-II	HV	ED	HV
NSGA-II	HV	PFS	HV
NSGA-II	IGD	HV	IGD
NSGA-II	IGD	EP	IGD
NSGA-II	IGD	GD	IGD
NSGA-II	IGD	GS	IGD
NSGA-II	IGD	ED	IGD
NSGA-II	IGD	PFS	IGD
NSGA-II	EP	HV	EP
NSGA-II	EP	IGD	EP
NSGA-II	EP	GD	EP
NSGA-II	EP	GS	EP
NSGA-II	EP	ED	EP
NSGA-II	EP	PFS	EP
NSGA-II	GD	HV	GD
NSGA-II	GD	IGD	GD
NSGA-II	GD	EP	GD
NSGA-II	GD	GS	GD
NSGA-II	GD	ED	GD
NSGA-II	GD	PFS	GD
NSGA-II	GS	HV	GS
NSGA-II	GS	IGD	GS
NSGA-II	GS	EP	GS
NSGA-II	GS	GD	GS
NSGA-II	GS	ED	GS
NSGA-II	GS	PFS	GS
NSGA-II	ED	HV	ED
NSGA-II	ED	IGD	ED
NSGA-II	ED	EP	ED
NSGA-II	ED	GD	ED
NSGA-II	ED	GS	ED
NSGA-II	ED	PFS	ED
NSGA-II	PFS	HV	PFS
NSGA-II	PFS	IGD	PFS
NSGA-II	PFS	EP	PFS
NSGA-II	PFS	GD	PFS
NSGA-II	PFS	GS	PFS
NSGA-II	PFS	ED	PFS
PAES	HV	IGD	HV
PAES	HV	EP	HV
PAES	HV	GD	HV
PAES	HV	GS	HV
PAES	HV	ED	HV
PAES	HV	C	HV
PAES	IGD	HV	IGD
PAES	IGD	EP	IGD
PAES	IGD	GD	IGD
PAES	IGD	GS	IGD
PAES	IGD	ED	IGD
PAES	EP	HV	EP
PAES	EP	IGD	EP
PAES	EP	GD	EP
PAES	EP	GS	EP
PAES	EP	C	EP
PAES	GD	HV	GD
PAES	GD	IGD	GD
PAES	GD	EP	GD
PAES	GD	GS	GD
PAES	GD	ED	GD
PAES	GS	HV	GS
PAES	GS	IGD	GS
PAES	GS	EP	GS
PAES	GS	GD	GS
PAES	GS	ED	GS
PAES	GS	C	GS
PAES	ED	HV	ED
PAES	ED	IGD	ED
PAES	ED	GD	ED
PAES	ED	GS	ED
