NameOfProblem	Algo	QI	Counter	Percentage	PercentageII
RA	CELLDE	HV	0	0	0
RA	CELLDE	IGD	0	0	0
RA	CELLDE	EP	0	0	0
RA	CELLDE	GD	4	0.571428571428571	57.1428571428571
RA	CELLDE	GS	6	0.857142857142857	85.7142857142857
RA	CELLDE	ED	6	0.857142857142857	85.7142857142857
RA	CELLDE	PFS	4	0.571428571428571	57.1428571428571
RA	CELLDE	C	0	0	0
TS	CELLDE	HV	1	0.142857142857143	14.2857142857143
TS	CELLDE	IGD	1	0.142857142857143	14.2857142857143
TS	CELLDE	EP	6	0.857142857142857	85.7142857142857
TS	CELLDE	GD	1	0.142857142857143	14.2857142857143
TS	CELLDE	GS	7	1	100
TS	CELLDE	ED	1	0.142857142857143	14.2857142857143
TS	CELLDE	PFS	1	0.142857142857143	14.2857142857143
TS	CELLDE	C	0	0	0
TRA	CELLDE	HV	2	0.285714285714286	28.5714285714286
TRA	CELLDE	IGD	2	0.285714285714286	28.5714285714286
TRA	CELLDE	EP	2	0.285714285714286	28.5714285714286
TRA	CELLDE	GD	5	0.714285714285714	71.4285714285714
TRA	CELLDE	GS	5	0.714285714285714	71.4285714285714
TRA	CELLDE	ED	5	0.714285714285714	71.4285714285714
TRA	CELLDE	PFS	0	0	0
TRA	CELLDE	C	1	0.142857142857143	14.2857142857143
RP	CELLDE	HV	6	0.857142857142857	85.7142857142857
RP	CELLDE	IGD	3	0.428571428571429	42.8571428571429
RP	CELLDE	EP	6	0.857142857142857	85.7142857142857
RP	CELLDE	GD	3	0.428571428571429	42.8571428571429
RP	CELLDE	GS	1	0.142857142857143	14.2857142857143
RP	CELLDE	ED	3	0.428571428571429	42.8571428571429
RP	CELLDE	PFS	0	0	0
RP	CELLDE	C	1	0.142857142857143	14.2857142857143
TM	CELLDE	HV	2	0.285714285714286	28.5714285714286
TM	CELLDE	IGD	2	0.285714285714286	28.5714285714286
TM	CELLDE	EP	2	0.285714285714286	28.5714285714286
TM	CELLDE	GD	2	0.285714285714286	28.5714285714286
TM	CELLDE	GS	7	1	100
TM	CELLDE	ED	2	0.285714285714286	28.5714285714286
TM	CELLDE	PFS	0	0	0
TM	CELLDE	C	0	0	0
TP1	CELLDE	HV	5	0.714285714285714	71.4285714285714
TP1	CELLDE	IGD	0	0	0
TP1	CELLDE	EP	7	1	100
TP1	CELLDE	GD	0	0	0
TP1	CELLDE	GS	5	0.714285714285714	71.4285714285714
TP1	CELLDE	ED	0	0	0
TP1	CELLDE	PFS	0	0	0
TP1	CELLDE	C	0	0	0
TP2_1	CELLDE	HV	0	0	0
TP2_1	CELLDE	IGD	0	0	0
TP2_1	CELLDE	EP	0	0	0
TP2_1	CELLDE	GD	0	0	0
TP2_1	CELLDE	GS	6	0.857142857142857	85.7142857142857
TP2_1	CELLDE	ED	0	0	0
TP2_1	CELLDE	PFS	6	0.857142857142857	85.7142857142857
TP2_1	CELLDE	C	0	0	0
TP2_2	CELLDE	HV	5	0.714285714285714	71.4285714285714
TP2_2	CELLDE	IGD	0	0	0
TP2_2	CELLDE	EP	5	0.714285714285714	71.4285714285714
TP2_2	CELLDE	GD	0	0	0
TP2_2	CELLDE	GS	5	0.714285714285714	71.4285714285714
TP2_2	CELLDE	ED	0	0	0
TP2_2	CELLDE	PFS	0	0	0
TP2_2	CELLDE	C	0	0	0
TP2_3	CELLDE	HV	3	0.428571428571429	42.8571428571429
TP2_3	CELLDE	IGD	3	0.428571428571429	42.8571428571429
TP2_3	CELLDE	EP	3	0.428571428571429	42.8571428571429
TP2_3	CELLDE	GD	0	0	0
TP2_3	CELLDE	GS	3	0.428571428571429	42.8571428571429
TP2_3	CELLDE	ED	1	0.142857142857143	14.2857142857143
TP2_3	CELLDE	PFS	1	0.142857142857143	14.2857142857143
TP2_3	CELLDE	C	3	0.428571428571429	42.8571428571429
ITO	CELLDE	HV	3	0.428571428571429	42.8571428571429
ITO	CELLDE	IGD	3	0.428571428571429	42.8571428571429
ITO	CELLDE	EP	3	0.428571428571429	42.8571428571429
ITO	CELLDE	GD	3	0.428571428571429	42.8571428571429
ITO	CELLDE	GS	1	0.142857142857143	14.2857142857143
ITO	CELLDE	ED	3	0.428571428571429	42.8571428571429
ITO	CELLDE	PFS	1	0.142857142857143	14.2857142857143
ITO	CELLDE	C	0	0	0
UT1	CELLDE	HV	7	1	100
UT1	CELLDE	IGD	0	0	0
UT1	CELLDE	EP	0	0	0
UT1	CELLDE	GD	0	0	0
UT1	CELLDE	GS	0	0	0
UT1	CELLDE	ED	0	0	0
UT1	CELLDE	PFS	0	0	0
UT1	CELLDE	C	0	0	0
UT2	CELLDE	HV	0	0	0
UT2	CELLDE	IGD	0	0	0
UT2	CELLDE	EP	0	0	0
UT2	CELLDE	GD	0	0	0
UT2	CELLDE	GS	7	1	100
UT2	CELLDE	ED	0	0	0
UT2	CELLDE	PFS	0	0	0
UT2	CELLDE	C	0	0	0
UT3	CELLDE	HV	7	1	100
UT3	CELLDE	IGD	0	0	0
UT3	CELLDE	EP	0	0	0
UT3	CELLDE	GD	0	0	0
UT3	CELLDE	GS	0	0	0
UT3	CELLDE	ED	0	0	0
UT3	CELLDE	PFS	0	0	0
UT3	CELLDE	C	0	0	0
UT4	CELLDE	HV	0	0	0
UT4	CELLDE	IGD	0	0	0
UT4	CELLDE	EP	0	0	0
UT4	CELLDE	GD	0	0	0
UT4	CELLDE	GS	7	1	100
UT4	CELLDE	ED	0	0	0
UT4	CELLDE	PFS	0	0	0
UT4	CELLDE	C	0	0	0
