NameOfProblem	Algo	QI	Counter	Percentage	PercentageII
RA	CellDE	HV	0	0	0
RA	CellDE	IGD	0	0	0
RA	CellDE	EP	0	0	0
RA	CellDE	GD	4	0.571428571428571	57.1428571428571
RA	CellDE	GS	6	0.857142857142857	85.7142857142857
RA	CellDE	ED	6	0.857142857142857	85.7142857142857
RA	CellDE	PFS	4	0.571428571428571	57.1428571428571
RA	CellDE	C	0	0	0
TS	CellDE	HV	1	0.142857142857143	14.2857142857143
TS	CellDE	IGD	1	0.142857142857143	14.2857142857143
TS	CellDE	EP	6	0.857142857142857	85.7142857142857
TS	CellDE	GD	1	0.142857142857143	14.2857142857143
TS	CellDE	GS	7	1	100
TS	CellDE	ED	1	0.142857142857143	14.2857142857143
TS	CellDE	PFS	1	0.142857142857143	14.2857142857143
TS	CellDE	C	0	0	0
TRA	CellDE	HV	2	0.285714285714286	28.5714285714286
TRA	CellDE	IGD	2	0.285714285714286	28.5714285714286
TRA	CellDE	EP	2	0.285714285714286	28.5714285714286
TRA	CellDE	GD	5	0.714285714285714	71.4285714285714
TRA	CellDE	GS	5	0.714285714285714	71.4285714285714
TRA	CellDE	ED	5	0.714285714285714	71.4285714285714
TRA	CellDE	PFS	0	0	0
TRA	CellDE	C	1	0.142857142857143	14.2857142857143
RP	CellDE	HV	6	0.857142857142857	85.7142857142857
RP	CellDE	IGD	3	0.428571428571429	42.8571428571429
RP	CellDE	EP	6	0.857142857142857	85.7142857142857
RP	CellDE	GD	3	0.428571428571429	42.8571428571429
RP	CellDE	GS	1	0.142857142857143	14.2857142857143
RP	CellDE	ED	3	0.428571428571429	42.8571428571429
RP	CellDE	PFS	0	0	0
RP	CellDE	C	1	0.142857142857143	14.2857142857143
TM	CellDE	HV	2	0.285714285714286	28.5714285714286
TM	CellDE	IGD	2	0.285714285714286	28.5714285714286
TM	CellDE	EP	2	0.285714285714286	28.5714285714286
TM	CellDE	GD	2	0.285714285714286	28.5714285714286
TM	CellDE	GS	7	1	100
TM	CellDE	ED	2	0.285714285714286	28.5714285714286
TM	CellDE	PFS	0	0	0
TM	CellDE	C	0	0	0
TP1	CellDE	HV	5	0.714285714285714	71.4285714285714
TP1	CellDE	IGD	0	0	0
TP1	CellDE	EP	7	1	100
TP1	CellDE	GD	0	0	0
TP1	CellDE	GS	5	0.714285714285714	71.4285714285714
TP1	CellDE	ED	0	0	0
TP1	CellDE	PFS	0	0	0
TP1	CellDE	C	0	0	0
TP2_1	CellDE	HV	0	0	0
TP2_1	CellDE	IGD	0	0	0
TP2_1	CellDE	EP	0	0	0
TP2_1	CellDE	GD	0	0	0
TP2_1	CellDE	GS	6	0.857142857142857	85.7142857142857
TP2_1	CellDE	ED	0	0	0
TP2_1	CellDE	PFS	6	0.857142857142857	85.7142857142857
TP2_1	CellDE	C	0	0	0
TP2_2	CellDE	HV	5	0.714285714285714	71.4285714285714
TP2_2	CellDE	IGD	0	0	0
TP2_2	CellDE	EP	5	0.714285714285714	71.4285714285714
TP2_2	CellDE	GD	0	0	0
TP2_2	CellDE	GS	5	0.714285714285714	71.4285714285714
TP2_2	CellDE	ED	0	0	0
TP2_2	CellDE	PFS	0	0	0
TP2_2	CellDE	C	0	0	0
TP2_3	CellDE	HV	3	0.428571428571429	42.8571428571429
TP2_3	CellDE	IGD	3	0.428571428571429	42.8571428571429
TP2_3	CellDE	EP	3	0.428571428571429	42.8571428571429
TP2_3	CellDE	GD	0	0	0
TP2_3	CellDE	GS	3	0.428571428571429	42.8571428571429
TP2_3	CellDE	ED	1	0.142857142857143	14.2857142857143
TP2_3	CellDE	PFS	1	0.142857142857143	14.2857142857143
TP2_3	CellDE	C	3	0.428571428571429	42.8571428571429
ITO	CellDE	HV	3	0.428571428571429	42.8571428571429
ITO	CellDE	IGD	3	0.428571428571429	42.8571428571429
ITO	CellDE	EP	3	0.428571428571429	42.8571428571429
ITO	CellDE	GD	3	0.428571428571429	42.8571428571429
ITO	CellDE	GS	1	0.142857142857143	14.2857142857143
ITO	CellDE	ED	3	0.428571428571429	42.8571428571429
ITO	CellDE	PFS	1	0.142857142857143	14.2857142857143
ITO	CellDE	C	0	0	0
UT1	CellDE	HV	7	1	100
UT1	CellDE	IGD	0	0	0
UT1	CellDE	EP	0	0	0
UT1	CellDE	GD	0	0	0
UT1	CellDE	GS	0	0	0
UT1	CellDE	ED	0	0	0
UT1	CellDE	PFS	0	0	0
UT1	CellDE	C	0	0	0
UT2	CellDE	HV	0	0	0
UT2	CellDE	IGD	0	0	0
UT2	CellDE	EP	0	0	0
UT2	CellDE	GD	0	0	0
UT2	CellDE	GS	7	1	100
UT2	CellDE	ED	0	0	0
UT2	CellDE	PFS	0	0	0
UT2	CellDE	C	0	0	0
UT3	CellDE	HV	7	1	100
UT3	CellDE	IGD	0	0	0
UT3	CellDE	EP	0	0	0
UT3	CellDE	GD	0	0	0
UT3	CellDE	GS	0	0	0
UT3	CellDE	ED	0	0	0
UT3	CellDE	PFS	0	0	0
UT3	CellDE	C	0	0	0
UT4	CellDE	HV	0	0	0
UT4	CellDE	IGD	0	0	0
UT4	CellDE	EP	0	0	0
UT4	CellDE	GD	0	0	0
UT4	CellDE	GS	7	1	100
UT4	CellDE	ED	0	0	0
UT4	CellDE	PFS	0	0	0
UT4	CellDE	C	0	0	0
