NameOfProblem	Algo	QI	Counter	Percentage	PercentageII
RA	MOCELL	HV	5	0.714285714285714	71.4285714285714
RA	MOCELL	IGD	5	0.714285714285714	71.4285714285714
RA	MOCELL	EP	5	0.714285714285714	71.4285714285714
RA	MOCELL	GD	0	0	0
RA	MOCELL	GS	0	0	0
RA	MOCELL	ED	0	0	0
RA	MOCELL	PFS	0	0	0
RA	MOCELL	C	0	0	0
TS	MOCELL	HV	4	0.571428571428571	57.1428571428571
TS	MOCELL	IGD	5	0.714285714285714	71.4285714285714
TS	MOCELL	EP	1	0.142857142857143	14.2857142857143
TS	MOCELL	GD	5	0.714285714285714	71.4285714285714
TS	MOCELL	GS	1	0.142857142857143	14.2857142857143
TS	MOCELL	ED	5	0.714285714285714	71.4285714285714
TS	MOCELL	PFS	1	0.142857142857143	14.2857142857143
TS	MOCELL	C	0	0	0
TRA	MOCELL	HV	0	0	0
TRA	MOCELL	IGD	0	0	0
TRA	MOCELL	EP	0	0	0
TRA	MOCELL	GD	7	1	100
TRA	MOCELL	GS	4	0.571428571428571	57.1428571428571
TRA	MOCELL	ED	0	0	0
TRA	MOCELL	PFS	4	0.571428571428571	57.1428571428571
TRA	MOCELL	C	4	0.571428571428571	57.1428571428571
RP	MOCELL	HV	0	0	0
RP	MOCELL	IGD	0	0	0
RP	MOCELL	EP	0	0	0
RP	MOCELL	GD	0	0	0
RP	MOCELL	GS	0	0	0
RP	MOCELL	ED	0	0	0
RP	MOCELL	PFS	0	0	0
RP	MOCELL	C	0	0	0
TM	MOCELL	HV	2	0.285714285714286	28.5714285714286
TM	MOCELL	IGD	2	0.285714285714286	28.5714285714286
TM	MOCELL	EP	2	0.285714285714286	28.5714285714286
TM	MOCELL	GD	7	1	100
TM	MOCELL	GS	1	0.142857142857143	14.2857142857143
TM	MOCELL	ED	2	0.285714285714286	28.5714285714286
TM	MOCELL	PFS	2	0.285714285714286	28.5714285714286
TM	MOCELL	C	0	0	0
TP1	MOCELL	HV	1	0.142857142857143	14.2857142857143
TP1	MOCELL	IGD	1	0.142857142857143	14.2857142857143
TP1	MOCELL	EP	0	0	0
TP1	MOCELL	GD	6	0.857142857142857	85.7142857142857
TP1	MOCELL	GS	1	0.142857142857143	14.2857142857143
TP1	MOCELL	ED	5	0.714285714285714	71.4285714285714
TP1	MOCELL	PFS	1	0.142857142857143	14.2857142857143
TP1	MOCELL	C	6	0.857142857142857	85.7142857142857
TP2_1	MOCELL	HV	2	0.285714285714286	28.5714285714286
TP2_1	MOCELL	IGD	4	0.571428571428571	57.1428571428571
TP2_1	MOCELL	EP	4	0.571428571428571	57.1428571428571
TP2_1	MOCELL	GD	4	0.571428571428571	57.1428571428571
TP2_1	MOCELL	GS	2	0.285714285714286	28.5714285714286
TP2_1	MOCELL	ED	4	0.571428571428571	57.1428571428571
TP2_1	MOCELL	PFS	0	0	0
TP2_1	MOCELL	C	0	0	0
TP2_2	MOCELL	HV	0	0	0
TP2_2	MOCELL	IGD	3	0.428571428571429	42.8571428571429
TP2_2	MOCELL	EP	0	0	0
TP2_2	MOCELL	GD	6	0.857142857142857	85.7142857142857
TP2_2	MOCELL	GS	0	0	0
TP2_2	MOCELL	ED	6	0.857142857142857	85.7142857142857
TP2_2	MOCELL	PFS	3	0.428571428571429	42.8571428571429
TP2_2	MOCELL	C	5	0.714285714285714	71.4285714285714
TP2_3	MOCELL	HV	2	0.285714285714286	28.5714285714286
TP2_3	MOCELL	IGD	2	0.285714285714286	28.5714285714286
