NameOfProblem	Algo	QI	Counter	Percentage	PercentageII
RA	MOCell	HV	5	0.714285714285714	71.4285714285714
RA	MOCell	IGD	5	0.714285714285714	71.4285714285714
RA	MOCell	EP	5	0.714285714285714	71.4285714285714
RA	MOCell	GD	0	0	0
RA	MOCell	GS	0	0	0
RA	MOCell	ED	0	0	0
RA	MOCell	PFS	0	0	0
RA	MOCell	C	0	0	0
TS	MOCell	HV	4	0.571428571428571	57.1428571428571
TS	MOCell	IGD	5	0.714285714285714	71.4285714285714
TS	MOCell	EP	1	0.142857142857143	14.2857142857143
TS	MOCell	GD	5	0.714285714285714	71.4285714285714
TS	MOCell	GS	1	0.142857142857143	14.2857142857143
TS	MOCell	ED	5	0.714285714285714	71.4285714285714
TS	MOCell	PFS	1	0.142857142857143	14.2857142857143
TS	MOCell	C	0	0	0
TRA	MOCell	HV	0	0	0
TRA	MOCell	IGD	0	0	0
TRA	MOCell	EP	0	0	0
TRA	MOCell	GD	7	1	100
TRA	MOCell	GS	4	0.571428571428571	57.1428571428571
TRA	MOCell	ED	0	0	0
TRA	MOCell	PFS	4	0.571428571428571	57.1428571428571
TRA	MOCell	C	4	0.571428571428571	57.1428571428571
RP	MOCell	HV	0	0	0
RP	MOCell	IGD	0	0	0
RP	MOCell	EP	0	0	0
RP	MOCell	GD	0	0	0
RP	MOCell	GS	0	0	0
RP	MOCell	ED	0	0	0
RP	MOCell	PFS	0	0	0
RP	MOCell	C	0	0	0
TM	MOCell	HV	2	0.285714285714286	28.5714285714286
TM	MOCell	IGD	2	0.285714285714286	28.5714285714286
TM	MOCell	EP	2	0.285714285714286	28.5714285714286
TM	MOCell	GD	7	1	100
TM	MOCell	GS	1	0.142857142857143	14.2857142857143
TM	MOCell	ED	2	0.285714285714286	28.5714285714286
TM	MOCell	PFS	2	0.285714285714286	28.5714285714286
TM	MOCell	C	0	0	0
TP1	MOCell	HV	1	0.142857142857143	14.2857142857143
TP1	MOCell	IGD	1	0.142857142857143	14.2857142857143
TP1	MOCell	EP	0	0	0
TP1	MOCell	GD	6	0.857142857142857	85.7142857142857
TP1	MOCell	GS	1	0.142857142857143	14.2857142857143
TP1	MOCell	ED	5	0.714285714285714	71.4285714285714
TP1	MOCell	PFS	1	0.142857142857143	14.2857142857143
TP1	MOCell	C	6	0.857142857142857	85.7142857142857
TP2_1	MOCell	HV	2	0.285714285714286	28.5714285714286
TP2_1	MOCell	IGD	4	0.571428571428571	57.1428571428571
TP2_1	MOCell	EP	4	0.571428571428571	57.1428571428571
TP2_1	MOCell	GD	4	0.571428571428571	57.1428571428571
TP2_1	MOCell	GS	2	0.285714285714286	28.5714285714286
TP2_1	MOCell	ED	4	0.571428571428571	57.1428571428571
TP2_1	MOCell	PFS	0	0	0
TP2_1	MOCell	C	0	0	0
TP2_2	MOCell	HV	0	0	0
TP2_2	MOCell	IGD	3	0.428571428571429	42.8571428571429
TP2_2	MOCell	EP	0	0	0
TP2_2	MOCell	GD	6	0.857142857142857	85.7142857142857
TP2_2	MOCell	GS	0	0	0
TP2_2	MOCell	ED	6	0.857142857142857	85.7142857142857
TP2_2	MOCell	PFS	3	0.428571428571429	42.8571428571429
TP2_2	MOCell	C	5	0.714285714285714	71.4285714285714
TP2_3	MOCell	HV	2	0.285714285714286	28.5714285714286
TP2_3	MOCell	IGD	2	0.285714285714286	28.5714285714286
TP2_3	MOCell	EP	2	0.285714285714286	28.5714285714286
TP2_3	MOCell	GD	2	0.285714285714286	28.5714285714286
