NameOfProblem	Algo	QI	Counter	Percentage	PercentageII
RA	PAES	HV	3	0.428571428571429	42.8571428571429
RA	PAES	IGD	3	0.428571428571429	42.8571428571429
RA	PAES	EP	3	0.428571428571429	42.8571428571429
RA	PAES	GD	6	0.857142857142857	85.7142857142857
RA	PAES	GS	1	0.142857142857143	14.2857142857143
RA	PAES	ED	1	0.142857142857143	14.2857142857143
RA	PAES	PFS	7	1	100
RA	PAES	C	0	0	0
TS	PAES	HV	0	0	0
TS	PAES	IGD	0	0	0
TS	PAES	EP	0	0	0
TS	PAES	GD	0	0	0
TS	PAES	GS	0	0	0
TS	PAES	ED	0	0	0
TS	PAES	PFS	7	1	100
TS	PAES	C	0	0	0
TRA	PAES	HV	0	0	0
TRA	PAES	IGD	4	0.571428571428571	57.1428571428571
TRA	PAES	EP	0	0	0
TRA	PAES	GD	4	0.571428571428571	57.1428571428571
TRA	PAES	GS	7	1	100
TRA	PAES	ED	4	0.571428571428571	57.1428571428571
TRA	PAES	PFS	0	0	0
TRA	PAES	C	0	0	0
RP	PAES	HV	0	0	0
RP	PAES	IGD	0	0	0
RP	PAES	EP	0	0	0
RP	PAES	GD	6	0.857142857142857	85.7142857142857
RP	PAES	GS	0	0	0
RP	PAES	ED	0	0	0
RP	PAES	PFS	7	1	100
RP	PAES	C	0	0	0
TM	PAES	HV	0	0	0
TM	PAES	IGD	0	0	0
TM	PAES	EP	0	0	0
TM	PAES	GD	0	0	0
TM	PAES	GS	0	0	0
TM	PAES	ED	0	0	0
TM	PAES	PFS	7	1	100
TM	PAES	C	0	0	0
TP1	PAES	HV	0	0	0
TP1	PAES	IGD	3	0.428571428571429	42.8571428571429
TP1	PAES	EP	0	0	0
TP1	PAES	GD	5	0.714285714285714	71.4285714285714
TP1	PAES	GS	0	0	0
TP1	PAES	ED	5	0.714285714285714	71.4285714285714
TP1	PAES	PFS	3	0.428571428571429	42.8571428571429
TP1	PAES	C	5	0.714285714285714	71.4285714285714
TP2_1	PAES	HV	2	0.285714285714286	28.5714285714286
TP2_1	PAES	IGD	5	0.714285714285714	71.4285714285714
TP2_1	PAES	EP	2	0.285714285714286	28.5714285714286
TP2_1	PAES	GD	5	0.714285714285714	71.4285714285714
TP2_1	PAES	GS	0	0	0
TP2_1	PAES	ED	5	0.714285714285714	71.4285714285714
TP2_1	PAES	PFS	2	0.285714285714286	28.5714285714286
TP2_1	PAES	C	0	0	0
TP2_2	PAES	HV	0	0	0
TP2_2	PAES	IGD	3	0.428571428571429	42.8571428571429
TP2_2	PAES	EP	0	0	0
TP2_2	PAES	GD	6	0.857142857142857	85.7142857142857
TP2_2	PAES	GS	0	0	0
TP2_2	PAES	ED	7	1	100
TP2_2	PAES	PFS	3	0.428571428571429	42.8571428571429
TP2_2	PAES	C	3	0.428571428571429	42.8571428571429
TP2_3	PAES	HV	0	0	0
TP2_3	PAES	IGD	0	0	0
TP2_3	PAES	EP	0	0	0
TP2_3	PAES	GD	0	0	0
TP2_3	PAES	GS	0	0	0
TP2_3	PAES	ED	0	0	0
TP2_3	PAES	PFS	7	1	100
TP2_3	PAES	C	0	0	0
RM	PAES	HV	3	0.428571428571429	42.8571428571429
RM	PAES	IGD	3	0.428571428571429	42.8571428571429
RM	PAES	EP	0	0	0
RM	PAES	GD	3	0.428571428571429	42.8571428571429
RM	PAES	GS	0	0	0
RM	PAES	ED	3	0.428571428571429	42.8571428571429
RM	PAES	PFS	0	0	0
RM	PAES	C	3	0.428571428571429	42.8571428571429
ITO	PAES	HV	0	0	0
ITO	PAES	IGD	0	0	0
ITO	PAES	EP	0	0	0
ITO	PAES	GD	0	0	0
ITO	PAES	GS	0	0	0
ITO	PAES	ED	0	0	0
ITO	PAES	PFS	7	1	100
ITO	PAES	C	0	0	0
UT1	PAES	HV	0	0	0
UT1	PAES	IGD	0	0	0
UT1	PAES	EP	0	0	0
UT1	PAES	GD	0	0	0
UT1	PAES	GS	0	0	0
UT1	PAES	ED	7	1	100
UT1	PAES	PFS	6	0.857142857142857	85.7142857142857
UT1	PAES	C	0	0	0
UT2	PAES	HV	0	0	0
UT2	PAES	IGD	0	0	0
UT2	PAES	EP	0	0	0
UT2	PAES	GD	0	0	0
UT2	PAES	GS	6	0.857142857142857	85.7142857142857
UT2	PAES	ED	0	0	0
UT2	PAES	PFS	7	1	100
UT2	PAES	C	0	0	0
UT3	PAES	HV	0	0	0
UT3	PAES	IGD	0	0	0
UT3	PAES	EP	0	0	0
UT3	PAES	GD	0	0	0
UT3	PAES	GS	0	0	0
UT3	PAES	ED	7	1	100
UT3	PAES	PFS	6	0.857142857142857	85.7142857142857
UT3	PAES	C	0	0	0
UT4	PAES	HV	0	0	0
UT4	PAES	IGD	0	0	0
UT4	PAES	EP	0	0	0
UT4	PAES	GD	0	0	0
UT4	PAES	GS	6	0.857142857142857	85.7142857142857
UT4	PAES	ED	0	0	0
UT4	PAES	PFS	7	1	100
UT4	PAES	C	0	0	0
RALIC	PAES	HV	4	0.571428571428571	57.1428571428571
RALIC	PAES	IGD	6	0.857142857142857	85.7142857142857
RALIC	PAES	EP	4	0.571428571428571	57.1428571428571
RALIC	PAES	GD	0	0	0
RALIC	PAES	GS	6	0.857142857142857	85.7142857142857
RALIC	PAES	ED	3	0.428571428571429	42.8571428571429
RALIC	PAES	PFS	0	0	0
RALIC	PAES	C	0	0	0
WORD	PAES	HV	0	0	0
WORD	PAES	IGD	5	0.714285714285714	71.4285714285714
WORD	PAES	EP	5	0.714285714285714	71.4285714285714
WORD	PAES	GD	0	0	0
WORD	PAES	GS	5	0.714285714285714	71.4285714285714
WORD	PAES	ED	4	0.571428571428571	57.1428571428571
WORD	PAES	PFS	0	0	0
WORD	PAES	C	0	0	0
NRL	PAES	HV	0	0	0
NRL	PAES	IGD	5	0.714285714285714	71.4285714285714
NRL	PAES	EP	5	0.714285714285714	71.4285714285714
NRL	PAES	GD	2	0.285714285714286	28.5714285714286
NRL	PAES	GS	5	0.714285714285714	71.4285714285714
NRL	PAES	ED	4	0.571428571428571	57.1428571428571
NRL	PAES	PFS	2	0.285714285714286	28.5714285714286
NRL	PAES	C	0	0	0
