NameOfProblem	Algo	QI	Counter	Percentage	PercentageII
RA	SPEA2	HV	4	0.571428571428571	57.1428571428571
RA	SPEA2	IGD	4	0.571428571428571	57.1428571428571
RA	SPEA2	EP	4	0.571428571428571	57.1428571428571
RA	SPEA2	GD	4	0.571428571428571	57.1428571428571
RA	SPEA2	GS	1	0.142857142857143	14.2857142857143
RA	SPEA2	ED	2	0.285714285714286	28.5714285714286
RA	SPEA2	PFS	3	0.428571428571429	42.8571428571429
RA	SPEA2	C	0	0	0
TS	SPEA2	HV	1	0.142857142857143	14.2857142857143
TS	SPEA2	IGD	4	0.571428571428571	57.1428571428571
TS	SPEA2	EP	1	0.142857142857143	14.2857142857143
TS	SPEA2	GD	4	0.571428571428571	57.1428571428571
TS	SPEA2	GS	4	0.571428571428571	57.1428571428571
TS	SPEA2	ED	4	0.571428571428571	57.1428571428571
TS	SPEA2	PFS	1	0.142857142857143	14.2857142857143
TS	SPEA2	C	0	0	0
TRA	SPEA2	HV	2	0.285714285714286	28.5714285714286
TRA	SPEA2	IGD	2	0.285714285714286	28.5714285714286
TRA	SPEA2	EP	2	0.285714285714286	28.5714285714286
TRA	SPEA2	GD	0	0	0
TRA	SPEA2	GS	2	0.285714285714286	28.5714285714286
TRA	SPEA2	ED	2	0.285714285714286	28.5714285714286
TRA	SPEA2	PFS	1	0.142857142857143	14.2857142857143
TRA	SPEA2	C	7	1	100
RP	SPEA2	HV	1	0.142857142857143	14.2857142857143
RP	SPEA2	IGD	1	0.142857142857143	14.2857142857143
RP	SPEA2	EP	1	0.142857142857143	14.2857142857143
RP	SPEA2	GD	6	0.857142857142857	85.7142857142857
RP	SPEA2	GS	1	0.142857142857143	14.2857142857143
RP	SPEA2	ED	1	0.142857142857143	14.2857142857143
RP	SPEA2	PFS	6	0.857142857142857	85.7142857142857
RP	SPEA2	C	0	0	0
TM	SPEA2	HV	1	0.142857142857143	14.2857142857143
TM	SPEA2	IGD	4	0.571428571428571	57.1428571428571
TM	SPEA2	EP	1	0.142857142857143	14.2857142857143
TM	SPEA2	GD	4	0.571428571428571	57.1428571428571
TM	SPEA2	GS	0	0	0
TM	SPEA2	ED	4	0.571428571428571	57.1428571428571
TM	SPEA2	PFS	1	0.142857142857143	14.2857142857143
TM	SPEA2	C	4	0.571428571428571	57.1428571428571
TP1	SPEA2	HV	2	0.285714285714286	28.5714285714286
TP1	SPEA2	IGD	2	0.285714285714286	28.5714285714286
TP1	SPEA2	EP	2	0.285714285714286	28.5714285714286
TP1	SPEA2	GD	6	0.857142857142857	85.7142857142857
TP1	SPEA2	GS	6	0.857142857142857	85.7142857142857
TP1	SPEA2	ED	2	0.285714285714286	28.5714285714286
TP1	SPEA2	PFS	0	0	0
TP1	SPEA2	C	0	0	0
TP2_1	SPEA2	HV	3	0.428571428571429	42.8571428571429
TP2_1	SPEA2	IGD	5	0.714285714285714	71.4285714285714
TP2_1	SPEA2	EP	3	0.428571428571429	42.8571428571429
TP2_1	SPEA2	GD	5	0.714285714285714	71.4285714285714
TP2_1	SPEA2	GS	0	0	0
TP2_1	SPEA2	ED	5	0.714285714285714	71.4285714285714
TP2_1	SPEA2	PFS	1	0.142857142857143	14.2857142857143
TP2_1	SPEA2	C	1	0.142857142857143	14.2857142857143
TP2_2	SPEA2	HV	2	0.285714285714286	28.5714285714286
TP2_2	SPEA2	IGD	2	0.285714285714286	28.5714285714286
TP2_2	SPEA2	EP	2	0.285714285714286	28.5714285714286
TP2_2	SPEA2	GD	7	1	100
TP2_2	SPEA2	GS	2	0.285714285714286	28.5714285714286
TP2_2	SPEA2	ED	1	0.142857142857143	14.2857142857143
TP2_2	SPEA2	PFS	2	0.285714285714286	28.5714285714286
TP2_2	SPEA2	C	0	0	0
TP2_3	SPEA2	HV	3	0.428571428571429	42.8571428571429
TP2_3	SPEA2	IGD	4	0.571428571428571	57.1428571428571
TP2_3	SPEA2	EP	4	0.571428571428571	57.1428571428571
TP2_3	SPEA2	GD	4	0.571428571428571	57.1428571428571
TP2_3	SPEA2	GS	1	0.142857142857143	14.2857142857143
TP2_3	SPEA2	ED	4	0.571428571428571	57.1428571428571
TP2_3	SPEA2	PFS	1	0.142857142857143	14.2857142857143
TP2_3	SPEA2	C	0	0	0
RM	SPEA2	HV	2	0.285714285714286	28.5714285714286
RM	SPEA2	IGD	2	0.285714285714286	28.5714285714286
RM	SPEA2	EP	2	0.285714285714286	28.5714285714286
RM	SPEA2	GD	2	0.285714285714286	28.5714285714286
RM	SPEA2	GS	2	0.285714285714286	28.5714285714286
RM	SPEA2	ED	0	0	0
RM	SPEA2	PFS	1	0.142857142857143	14.2857142857143
RM	SPEA2	C	2	0.285714285714286	28.5714285714286
ITO	SPEA2	HV	0	0	0
ITO	SPEA2	IGD	0	0	0
ITO	SPEA2	EP	0	0	0
ITO	SPEA2	GD	0	0	0
ITO	SPEA2	GS	0	0	0
ITO	SPEA2	ED	0	0	0
ITO	SPEA2	PFS	0	0	0
ITO	SPEA2	C	0	0	0
UT1	SPEA2	HV	0	0	0
UT1	SPEA2	IGD	0	0	0
UT1	SPEA2	EP	0	0	0
UT1	SPEA2	GD	0	0	0
UT1	SPEA2	GS	0	0	0
UT1	SPEA2	ED	6	0.857142857142857	85.7142857142857
UT1	SPEA2	PFS	7	1	100
UT1	SPEA2	C	0	0	0
UT2	SPEA2	HV	0	0	0
UT2	SPEA2	IGD	0	0	0
UT2	SPEA2	EP	0	0	0
UT2	SPEA2	GD	6	0.857142857142857	85.7142857142857
UT2	SPEA2	GS	6	0.857142857142857	85.7142857142857
UT2	SPEA2	ED	0	0	0
UT2	SPEA2	PFS	5	0.714285714285714	71.4285714285714
UT2	SPEA2	C	0	0	0
UT3	SPEA2	HV	0	0	0
UT3	SPEA2	IGD	0	0	0
UT3	SPEA2	EP	0	0	0
UT3	SPEA2	GD	0	0	0
UT3	SPEA2	GS	0	0	0
UT3	SPEA2	ED	6	0.857142857142857	85.7142857142857
UT3	SPEA2	PFS	6	0.857142857142857	85.7142857142857
UT3	SPEA2	C	0	0	0
UT4	SPEA2	HV	0	0	0
UT4	SPEA2	IGD	0	0	0
UT4	SPEA2	EP	0	0	0
UT4	SPEA2	GD	6	0.857142857142857	85.7142857142857
UT4	SPEA2	GS	6	0.857142857142857	85.7142857142857
UT4	SPEA2	ED	0	0	0
UT4	SPEA2	PFS	5	0.714285714285714	71.4285714285714
UT4	SPEA2	C	0	0	0
RALIC	SPEA2	HV	2	0.285714285714286	28.5714285714286
RALIC	SPEA2	IGD	2	0.285714285714286	28.5714285714286
RALIC	SPEA2	EP	0	0	0
RALIC	SPEA2	GD	2	0.285714285714286	28.5714285714286
RALIC	SPEA2	GS	7	1	100
RALIC	SPEA2	ED	2	0.285714285714286	28.5714285714286
RALIC	SPEA2	PFS	6	0.857142857142857	85.7142857142857
RALIC	SPEA2	C	0	0	0
WORD	SPEA2	HV	2	0.285714285714286	28.5714285714286
WORD	SPEA2	IGD	6	0.857142857142857	85.7142857142857
WORD	SPEA2	EP	2	0.285714285714286	28.5714285714286
WORD	SPEA2	GD	2	0.285714285714286	28.5714285714286
WORD	SPEA2	GS	6	0.857142857142857	85.7142857142857
WORD	SPEA2	ED	2	0.285714285714286	28.5714285714286
WORD	SPEA2	PFS	0	0	0
WORD	SPEA2	C	0	0	0
NRL	SPEA2	HV	4	0.571428571428571	57.1428571428571
NRL	SPEA2	IGD	3	0.428571428571429	42.8571428571429
NRL	SPEA2	EP	4	0.571428571428571	57.1428571428571
NRL	SPEA2	GD	4	0.571428571428571	57.1428571428571
NRL	SPEA2	GS	4	0.571428571428571	57.1428571428571
NRL	SPEA2	ED	1	0.142857142857143	14.2857142857143
NRL	SPEA2	PFS	1	0.142857142857143	14.2857142857143
NRL	SPEA2	C	0	0	0
