NameOfProblem	Percentage	PercentageII
RA	0.285714285714286	28.5714285714286
TS	0.357142857142857	35.7142857142857
TRA	0.214285714285714	21.4285714285714
RP	0.178571428571429	17.8571428571429
TM	0.392857142857143	39.2857142857143
TP1	0.392857142857143	39.2857142857143
TP2_1	0.571428571428571	57.1428571428571
TP2_2	0.464285714285714	46.4285714285714
TP2_3	0.392857142857143	39.2857142857143
RM	1	100
ITO	0.392857142857143	39.2857142857143
UT1	0.75	75
UT2	0.75	75
UT3	0.75	75
UT4	0.75	75
RALIC	1	100
WORD	1	100
NRL	1	100
