NameOfProblem	Percentage	PercentageII
RA	0.535714285714286	53.5714285714286
TS	0.25	25
TRA	0.321428571428571	32.1428571428571
RP	0.214285714285714	21.4285714285714
TM	0.25	25
TP1	0.142857142857143	14.2857142857143
TP2_1	0.142857142857143	14.2857142857143
TP2_2	0.25	25
TP2_3	0.357142857142857	35.7142857142857
RM	0.571428571428571	57.1428571428571
ITO	0.25	25
UT1	0.535714285714286	53.5714285714286
UT2	0.75	75
UT3	0.357142857142857	35.7142857142857
UT4	0.75	75
RALIC	1	100
WORD	1	100
NRL	1	100
