NameOfProblem	Percentage	PercentageII
RA	0.714285714285714	71.4285714285714
TS	0.571428571428571	57.1428571428571
TRA	0	0
RP	0	0
TM	0.285714285714286	28.5714285714286
TP1	0.142857142857143	14.2857142857143
TP2_1	0.285714285714286	28.5714285714286
TP2_2	0	0
TP2_3	0.285714285714286	28.5714285714286
RM	0.571428571428571	57.1428571428571
ITO	0.285714285714286	28.5714285714286
UT1	1	100
UT2	0	0
UT3	0.857142857142857	85.7142857142857
UT4	0	0
RALIC	1	100
WORD	0.714285714285714	71.4285714285714
NRL	0.428571428571429	42.8571428571429
