NameOfProblem	Percentage	PercentageII
RA	0	0
TS	0.428571428571429	42.8571428571429
TRA	0.142857142857143	14.2857142857143
RP	0.714285714285714	71.4285714285714
TM	0.285714285714286	28.5714285714286
TP1	0.285714285714286	28.5714285714286
TP2_1	0.142857142857143	14.2857142857143
TP2_2	0.142857142857143	14.2857142857143
TP2_3	0.142857142857143	14.2857142857143
RM	0	0
ITO	1	100
UT1	1	100
UT2	0	0
UT3	1	100
UT4	0	0
RALIC	0.857142857142857	85.7142857142857
WORD	0.714285714285714	71.4285714285714
NRL	0	0
