NameOfProblem	Percentage	PercentageII
RA	0.571428571428571	57.1428571428571
TS	0.428571428571429	42.8571428571429
TRA	0.142857142857143	14.2857142857143
RP	0.714285714285714	71.4285714285714
TM	0.285714285714286	28.5714285714286
TP1	1	100
TP2_1	0.285714285714286	28.5714285714286
TP2_2	1	100
TP2_3	0.142857142857143	14.2857142857143
RM	0.142857142857143	14.2857142857143
ITO	0	0
UT1	0	0
UT2	0	0
UT3	0	0
UT4	0	0
RALIC	0.428571428571429	42.8571428571429
WORD	0.428571428571429	42.8571428571429
NRL	0	0
