NameOfProblem	Percentage	PercentageII
RA	0.285714285714286	28.5714285714286
TS	0.285714285714286	28.5714285714286
TRA	0.571428571428571	57.1428571428571
RP	0	0
TM	0.285714285714286	28.5714285714286
TP1	0	0
TP2_1	0.285714285714286	28.5714285714286
TP2_2	0.428571428571429	42.8571428571429
TP2_3	0.142857142857143	14.2857142857143
RM	0.142857142857143	14.2857142857143
ITO	0	0
UT1	1	100
UT2	0.714285714285714	71.4285714285714
UT3	1	100
UT4	0.714285714285714	71.4285714285714
RALIC	0.714285714285714	71.4285714285714
WORD	0	0
NRL	0.285714285714286	28.5714285714286
