NameOfProblem	Percentage	PercentageII
RA	0.142857142857143	14.2857142857143
TS	0.571428571428571	57.1428571428571
TRA	0.285714285714286	28.5714285714286
RP	0.142857142857143	14.2857142857143
TM	0	0
TP1	0.857142857142857	85.7142857142857
TP2_1	0	0
TP2_2	0.285714285714286	28.5714285714286
TP2_3	0.142857142857143	14.2857142857143
RM	0.285714285714286	28.5714285714286
ITO	0	0
UT1	0	0
UT2	0.857142857142857	85.7142857142857
UT3	0	0
UT4	0.857142857142857	85.7142857142857
RALIC	1	100
WORD	0.857142857142857	85.7142857142857
NRL	0.571428571428571	57.1428571428571
