NameOfProblem	Percentage	PercentageII
RA	0.428571428571429	42.8571428571429
TS	0.142857142857143	14.2857142857143
TRA	0.142857142857143	14.2857142857143
RP	0.857142857142857	85.7142857142857
TM	0.142857142857143	14.2857142857143
TP1	0	0
TP2_1	0.142857142857143	14.2857142857143
TP2_2	0.285714285714286	28.5714285714286
TP2_3	0.142857142857143	14.2857142857143
RM	0.142857142857143	14.2857142857143
ITO	0	0
UT1	1	100
UT2	1	100
UT3	1	100
UT4	1	100
RALIC	0.571428571428571	57.1428571428571
WORD	0	0
NRL	0.857142857142857	85.7142857142857
