NameOfProblem	Percentage	PercentageII
RA	0	0
TS	0.133333333333333	13.3333333333333
TRA	0.0666666666666667	6.66666666666667
RP	0.0666666666666667	6.66666666666667
TM	0.133333333333333	13.3333333333333
TP1	0	0
TP2_1	0.133333333333333	13.3333333333333
TP2_2	0	0
TP2_3	0.0666666666666667	6.66666666666667
RM	0	0
ITO	0.133333333333333	13.3333333333333
UT1	0.666666666666667	66.6666666666667
UT2	1	100
UT3	0.666666666666667	66.6666666666667
UT4	1	100
RALIC	0	0
WORD	0.166666666666667	16.6666666666667
NRL	0	0
